code,codeDescription,addressCounty,addressState,patientAge,patientSex,count
C18,Malignant neoplasm of colon,Gaston County,NC,65-84,Female,2
C18,Malignant neoplasm of colon,Gaston County,NC,65-84,Male,2
C18,Malignant neoplasm of colon,Genesee County,MI,65-84,Male,1
C18,Malignant neoplasm of colon,Gloucester County,VA,45-64,Female,1
C18,Malignant neoplasm of colon,Greenville County,SC,19-44,Female,2
C18,Malignant neoplasm of colon,Greenville County,SC,19-44,Male,4
C18,Malignant neoplasm of colon,Greenville County,SC,45-64,Female,4
C18,Malignant neoplasm of colon,Greenville County,SC,45-64,Male,14
C18,Malignant neoplasm of colon,Greenville County,SC,65-84,Female,16
C18,Malignant neoplasm of colon,Greenville County,SC,65-84,Male,23
C18,Malignant neoplasm of colon,Greenville County,SC,85+,Male,5
C18,Malignant neoplasm of colon,Greenwood County,SC,45-64,Male,1
C18,Malignant neoplasm of colon,Greenwood County,SC,65-84,Female,1
C18,Malignant neoplasm of colon,Halifax County,VA,19-44,Female,1
C18,Malignant neoplasm of colon,Halifax County,VA,45-64,Female,1
C18,Malignant neoplasm of colon,Halifax County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Halifax County,VA,65-84,Male,1
C18,Malignant neoplasm of colon,Haywood County,NC,45-64,Female,1
C18,Malignant neoplasm of colon,Haywood County,NC,65-84,Female,1
C18,Malignant neoplasm of colon,Henderson County,NC,19-44,Male,1
C18,Malignant neoplasm of colon,Henderson County,NC,65-84,Female,1
C18,Malignant neoplasm of colon,Henderson County,NC,65-84,Male,1
C18,Malignant neoplasm of colon,Henrico County,VA,14-18,Female,8
C18,Malignant neoplasm of colon,Henrico County,VA,19-44,Female,7
C18,Malignant neoplasm of colon,Henrico County,VA,19-44,Male,28
C18,Malignant neoplasm of colon,Henrico County,VA,45-64,Female,16
C18,Malignant neoplasm of colon,Henrico County,VA,45-64,Male,16
C18,Malignant neoplasm of colon,Henrico County,VA,65-84,Female,9
C18,Malignant neoplasm of colon,Henrico County,VA,65-84,Male,10
C18,Malignant neoplasm of colon,Henrico County,VA,85+,Male,1
C18,Malignant neoplasm of colon,Henry County,VA,19-44,Female,1
C18,Malignant neoplasm of colon,Henry County,VA,65-84,Female,2
C18,Malignant neoplasm of colon,Horry County,SC,14-18,Male,1
C18,Malignant neoplasm of colon,Horry County,SC,45-64,Female,7
C18,Malignant neoplasm of colon,Horry County,SC,45-64,Male,8
C18,Malignant neoplasm of colon,Horry County,SC,65-84,Female,3
C18,Malignant neoplasm of colon,Horry County,SC,65-84,Male,6
C18,Malignant neoplasm of colon,Indian River County,FL,45-64,Female,1
C18,Malignant neoplasm of colon,Indian River County,FL,45-64,Male,2
C18,Malignant neoplasm of colon,Indian River County,FL,65-84,Male,1
C18,Malignant neoplasm of colon,Ingham County,MI,65-84,Male,1
C18,Malignant neoplasm of colon,James City County,VA,45-64,Female,1
C18,Malignant neoplasm of colon,Jefferson County,AL,14-18,Female,1
C18,Malignant neoplasm of colon,Jefferson County,AL,19-44,Male,2
C18,Malignant neoplasm of colon,Jefferson County,AL,45-64,Female,8
C18,Malignant neoplasm of colon,Jefferson County,AL,45-64,Male,20
C18,Malignant neoplasm of colon,Jefferson County,AL,65-84,Female,7
C18,Malignant neoplasm of colon,Jefferson County,AL,65-84,Male,8
C18,Malignant neoplasm of colon,Lancaster County,SC,45-64,Female,1
C18,Malignant neoplasm of colon,Lancaster County,SC,45-64,Male,2
C18,Malignant neoplasm of colon,Lancaster County,SC,65-84,Female,2
C18,Malignant neoplasm of colon,Lancaster County,SC,65-84,Male,4
C18,Malignant neoplasm of colon,Lee County,AL,19-44,Male,2
C18,Malignant neoplasm of colon,Lee County,AL,45-64,Female,9
C18,Malignant neoplasm of colon,Lee County,AL,45-64,Male,3
C18,Malignant neoplasm of colon,Lee County,AL,65-84,Female,9
C18,Malignant neoplasm of colon,Lee County,AL,65-84,Male,17
C18,Malignant neoplasm of colon,Lee County,FL,45-64,Female,1
C18,Malignant neoplasm of colon,Lee County,FL,65-84,Female,1
C18,Malignant neoplasm of colon,Lee County,FL,65-84,Male,1
C18,Malignant neoplasm of colon,Lincoln Parish,LA,65-84,Male,1
C18,Malignant neoplasm of colon,Lowndes County,GA,45-64,Female,2
C18,Malignant neoplasm of colon,Lowndes County,GA,45-64,Male,3
C18,Malignant neoplasm of colon,Lowndes County,GA,65-84,Male,5
C18,Malignant neoplasm of colon,Madison County,AL,19-44,Female,1
C18,Malignant neoplasm of colon,Madison County,AL,45-64,Female,1
C18,Malignant neoplasm of colon,Madison County,AL,45-64,Male,7
C18,Malignant neoplasm of colon,Madison County,AL,65-84,Female,2
C18,Malignant neoplasm of colon,Madison County,AL,65-84,Male,9
C18,Malignant neoplasm of colon,Mercer County,WV,45-64,Male,1
C18,Malignant neoplasm of colon,Mobile County,AL,45-64,Male,1
C18,Malignant neoplasm of colon,Mobile County,AL,65-84,Female,2
C18,Malignant neoplasm of colon,Montgomery County,VA,19-44,Female,1
C18,Malignant neoplasm of colon,Montgomery County,VA,19-44,Male,4
C18,Malignant neoplasm of colon,Montgomery County,VA,45-64,Female,16
C18,Malignant neoplasm of colon,Montgomery County,VA,45-64,Male,17
C18,Malignant neoplasm of colon,Montgomery County,VA,65-84,Female,23
C18,Malignant neoplasm of colon,Montgomery County,VA,65-84,Male,12
C18,Malignant neoplasm of colon,Natchitoches Parish,LA,65-84,Female,2
C18,Malignant neoplasm of colon,Natchitoches Parish,LA,65-84,Male,1
C18,Malignant neoplasm of colon,Newberry County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Newberry County,SC,85+,Female,1
C18,Malignant neoplasm of colon,Newport News City County,VA,45-64,Female,12
C18,Malignant neoplasm of colon,Newport News City County,VA,45-64,Male,5
C18,Malignant neoplasm of colon,Newport News City County,VA,65-84,Female,12
C18,Malignant neoplasm of colon,Newport News City County,VA,65-84,Male,10
C18,Malignant neoplasm of colon,Newport News City County,VA,85+,Female,1
C18,Malignant neoplasm of colon,Okaloosa County,FL,19-44,Male,1
C18,Malignant neoplasm of colon,Okaloosa County,FL,45-64,Female,2
C18,Malignant neoplasm of colon,Okaloosa County,FL,45-64,Male,12
C18,Malignant neoplasm of colon,Okaloosa County,FL,65-84,Female,5
C18,Malignant neoplasm of colon,Okaloosa County,FL,65-84,Male,4
C18,Malignant neoplasm of colon,Okaloosa County,FL,85+,Female,1
C18,Malignant neoplasm of colon,Orangeburg County,SC,19-44,Female,1
C18,Malignant neoplasm of colon,Orangeburg County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Ouachita Parish,LA,19-44,Male,1
C18,Malignant neoplasm of colon,Ouachita Parish,LA,45-64,Female,3
C18,Malignant neoplasm of colon,Ouachita Parish,LA,45-64,Male,5
C18,Malignant neoplasm of colon,Ouachita Parish,LA,65-84,Female,6
C18,Malignant neoplasm of colon,Ouachita Parish,LA,65-84,Male,8
C18,Malignant neoplasm of colon,Ouachita Parish,LA,85+,Female,1
C18,Malignant neoplasm of colon,Palm Beach County,FL,19-44,Female,1
C18,Malignant neoplasm of colon,Palm Beach County,FL,45-64,Female,3
C18,Malignant neoplasm of colon,Palm Beach County,FL,45-64,Male,5
C18,Malignant neoplasm of colon,Palm Beach County,FL,65-84,Female,4
C18,Malignant neoplasm of colon,Palm Beach County,FL,65-84,Male,3
C18,Malignant neoplasm of colon,Patrick County,VA,65-84,Male,1
C18,Malignant neoplasm of colon,Pinellas County,FL,45-64,Female,1
C18,Malignant neoplasm of colon,Pittsylvania County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Pittsylvania County,VA,65-84,Male,1
C18,Malignant neoplasm of colon,Polk County,NC,85+,Female,1
C18,Malignant neoplasm of colon,Portsmouth City County,VA,45-64,Female,2
C18,Malignant neoplasm of colon,Prince William County,VA,19-44,Male,1
C18,Malignant neoplasm of colon,Pulaski County,VA,45-64,Female,1
C18,Malignant neoplasm of colon,Pulaski County,VA,65-84,Male,1
C18,Malignant neoplasm of colon,Rapides Parish,LA,19-44,Female,2
C18,Malignant neoplasm of colon,Rapides Parish,LA,19-44,Male,1
C18,Malignant neoplasm of colon,Rapides Parish,LA,45-64,Female,1
C18,Malignant neoplasm of colon,Rapides Parish,LA,45-64,Male,1
C18,Malignant neoplasm of colon,Rapides Parish,LA,65-84,Female,1
C18,Malignant neoplasm of colon,Rapides Parish,LA,65-84,Male,2
C18,Malignant neoplasm of colon,Richland County,SC,65-84,Male,3
C18,Malignant neoplasm of colon,Richland County,SC,85+,Male,1
C18,Malignant neoplasm of colon,Roanoke County,VA,19-44,Female,2
C18,Malignant neoplasm of colon,Roanoke County,VA,19-44,Male,3
C18,Malignant neoplasm of colon,Roanoke County,VA,45-64,Female,14
C18,Malignant neoplasm of colon,Roanoke County,VA,45-64,Male,17
C18,Malignant neoplasm of colon,Roanoke County,VA,65-84,Female,10
C18,Malignant neoplasm of colon,Roanoke County,VA,65-84,Male,10
C18,Malignant neoplasm of colon,Roanoke County,VA,85+,Female,1
C18,Malignant neoplasm of colon,Roanoke County,VA,85+,Male,1
C18,Malignant neoplasm of colon,Rowan County,NC,19-44,Female,1
C18,Malignant neoplasm of colon,Rowan County,NC,45-64,Female,1
C18,Malignant neoplasm of colon,Rowan County,NC,45-64,Male,4
C18,Malignant neoplasm of colon,Rowan County,NC,65-84,Male,8
C18,Malignant neoplasm of colon,Russell County,AL,45-64,Female,2
C18,Malignant neoplasm of colon,Russell County,AL,45-64,Male,1
C18,Malignant neoplasm of colon,Russell County,AL,65-84,Female,2
C18,Malignant neoplasm of colon,Russell County,AL,65-84,Male,3
C18,Malignant neoplasm of colon,Russell County,AL,85+,Female,1
C18,Malignant neoplasm of colon,Rutherford County,TN,45-64,Male,1
C18,Malignant neoplasm of colon,Sangamon County,IL,65-84,Female,1
C18,Malignant neoplasm of colon,Smyth County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Spartanburg County,SC,19-44,Female,2
C18,Malignant neoplasm of colon,Spartanburg County,SC,19-44,Male,3
C18,Malignant neoplasm of colon,Spartanburg County,SC,45-64,Female,17
C18,Malignant neoplasm of colon,Spartanburg County,SC,45-64,Male,21
C18,Malignant neoplasm of colon,Spartanburg County,SC,65-84,Female,13
C18,Malignant neoplasm of colon,Spartanburg County,SC,65-84,Male,18
C18,Malignant neoplasm of colon,Spotsylvania County,VA,19-44,Female,1
C18,Malignant neoplasm of colon,Spotsylvania County,VA,45-64,Female,1
C18,Malignant neoplasm of colon,Spotsylvania County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Spotsylvania County,VA,65-84,Female,2
C18,Malignant neoplasm of colon,Spotsylvania County,VA,65-84,Male,4
C18,Malignant neoplasm of colon,St. Landry Parish,LA,14-18,Female,1
C18,Malignant neoplasm of colon,St. Landry Parish,LA,45-64,Female,1
C18,Malignant neoplasm of colon,St. Landry Parish,LA,45-64,Male,2
C18,Malignant neoplasm of colon,St. Landry Parish,LA,65-84,Male,2
C18,Malignant neoplasm of colon,Sullivan County,TN,65-84,Male,1
C18,Malignant neoplasm of colon,Sumter County,SC,19-44,Male,1
C18,Malignant neoplasm of colon,Sumter County,SC,45-64,Female,1
C18,Malignant neoplasm of colon,Sumter County,SC,45-64,Male,3
C18,Malignant neoplasm of colon,Sumter County,SC,65-84,Female,1
C18,Malignant neoplasm of colon,Sumter County,SC,65-84,Male,2
C18,Malignant neoplasm of colon,Talladega County,AL,19-44,Male,1
C18,Malignant neoplasm of colon,Talladega County,AL,45-64,Male,3
C18,Malignant neoplasm of colon,Talladega County,AL,65-84,Female,5
C18,Malignant neoplasm of colon,Talladega County,AL,65-84,Male,5
C18,Malignant neoplasm of colon,Tallapoosa County,AL,19-44,Female,1
C18,Malignant neoplasm of colon,Tallapoosa County,AL,19-44,Male,1
C18,Malignant neoplasm of colon,Tallapoosa County,AL,45-64,Female,4
C18,Malignant neoplasm of colon,Tallapoosa County,AL,45-64,Male,3
C18,Malignant neoplasm of colon,Tallapoosa County,AL,65-84,Female,2
C18,Malignant neoplasm of colon,Tallapoosa County,AL,65-84,Male,3
C18,Malignant neoplasm of colon,Tangipahoa Parish,LA,45-64,Female,1
C18,Malignant neoplasm of colon,Tazewell County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Tazewell County,VA,65-84,Female,2
C18,Malignant neoplasm of colon,Washington County,VA,19-44,Male,1
C18,Malignant neoplasm of colon,Washington County,VA,45-64,Female,13
C18,Malignant neoplasm of colon,Washington County,VA,45-64,Male,16
C18,Malignant neoplasm of colon,Washington County,VA,65-84,Female,14
C18,Malignant neoplasm of colon,Washington County,VA,65-84,Male,9
C18,Malignant neoplasm of colon,Wythe County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Wythe County,VA,65-84,Female,1
C18,Malignant neoplasm of colon,York County,SC,19-44,Female,3
C18,Malignant neoplasm of colon,York County,SC,19-44,Male,2
C18,Malignant neoplasm of colon,York County,SC,45-64,Female,1
C18,Malignant neoplasm of colon,York County,SC,45-64,Male,6
C18,Malignant neoplasm of colon,York County,SC,65-84,Female,3
C18,Malignant neoplasm of colon,York County,SC,65-84,Male,4
C18.0,Malignant neoplasm of cecum,Aiken County,SC,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Alleghany County,VA,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Anderson County,SC,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Anne Arundel County,MD,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Baldwin County,AL,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Bell County,TX,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Berkeley County,SC,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Berkeley County,SC,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Buncombe County,NC,45-64,Male,2
C18.0,Malignant neoplasm of cecum,Buncombe County,NC,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Charleston County,SC,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Charleston County,SC,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Charleston County,SC,85+,Male,1
C18.0,Malignant neoplasm of cecum,Clay County,FL,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Clay County,FL,65-84,Female,2
C18.0,Malignant neoplasm of cecum,Clay County,FL,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Colbert County,AL,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Coweta County,GA,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Dallas County,TX,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Duval County,FL,19-44,Female,1
C18.0,Malignant neoplasm of cecum,Duval County,FL,45-64,Female,4
C18.0,Malignant neoplasm of cecum,Duval County,FL,45-64,Male,2
C18.0,Malignant neoplasm of cecum,Duval County,FL,65-84,Female,6
C18.0,Malignant neoplasm of cecum,Duval County,FL,65-84,Male,11
C18.0,Malignant neoplasm of cecum,Duval County,FL,85+,Female,2
C18.0,Malignant neoplasm of cecum,Etowah County,AL,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Etowah County,AL,45-64,Male,3
C18.0,Malignant neoplasm of cecum,Etowah County,AL,65-84,Female,4
C18.0,Malignant neoplasm of cecum,Etowah County,AL,65-84,Male,2
C18.0,Malignant neoplasm of cecum,Gaston County,NC,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Gaston County,NC,45-64,Male,3
C18.0,Malignant neoplasm of cecum,Gaston County,NC,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Greenville County,SC,19-44,Female,1
C18.0,Malignant neoplasm of cecum,Greenville County,SC,45-64,Female,5
C18.0,Malignant neoplasm of cecum,Greenville County,SC,45-64,Male,7
C18.0,Malignant neoplasm of cecum,Greenville County,SC,65-84,Female,8
C18.0,Malignant neoplasm of cecum,Greenville County,SC,65-84,Male,16
C18.0,Malignant neoplasm of cecum,Greenwood County,SC,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Halifax County,VA,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Haywood County,NC,19-44,Male,1
C18.0,Malignant neoplasm of cecum,Haywood County,NC,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Henrico County,VA,19-44,Female,1
C18.0,Malignant neoplasm of cecum,Henrico County,VA,45-64,Female,2
C18.0,Malignant neoplasm of cecum,Henrico County,VA,45-64,Male,2
C18.0,Malignant neoplasm of cecum,Henrico County,VA,65-84,Female,2
C18.0,Malignant neoplasm of cecum,Horry County,SC,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Horry County,SC,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Horry County,SC,65-84,Male,2
C18.0,Malignant neoplasm of cecum,Horry County,SC,85+,Female,1
C18.0,Malignant neoplasm of cecum,Indian River County,FL,45-64,Female,2
C18.0,Malignant neoplasm of cecum,Indian River County,FL,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Indian River County,FL,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Jefferson County,AL,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Jefferson County,AL,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Jefferson County,AL,65-84,Female,2
C18.0,Malignant neoplasm of cecum,Jefferson County,AL,65-84,Male,2
C18.0,Malignant neoplasm of cecum,Jefferson County,AL,85+,Female,1
C18.0,Malignant neoplasm of cecum,Lancaster County,SC,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Lancaster County,SC,85+,Female,1
C18.0,Malignant neoplasm of cecum,Lee County,AL,19-44,Male,2
C18.0,Malignant neoplasm of cecum,Lee County,AL,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Lee County,AL,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Lee County,AL,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Lee County,AL,65-84,Male,2
C18.0,Malignant neoplasm of cecum,Lee County,AL,85+,Female,1
C18.0,Malignant neoplasm of cecum,Lincoln Parish,LA,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Lowndes County,GA,19-44,Female,1
C18.0,Malignant neoplasm of cecum,Madison County,AL,19-44,Female,1
C18.0,Malignant neoplasm of cecum,Madison County,AL,45-64,Female,2
C18.0,Malignant neoplasm of cecum,Madison County,AL,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Madison County,AL,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Madison County,AL,85+,Female,1
C18.0,Malignant neoplasm of cecum,Montgomery County,VA,45-64,Female,2
C18.0,Malignant neoplasm of cecum,Montgomery County,VA,65-84,Female,8
C18.0,Malignant neoplasm of cecum,Montgomery County,VA,65-84,Male,5
C18.0,Malignant neoplasm of cecum,Montgomery County,VA,85+,Female,2
C18.0,Malignant neoplasm of cecum,Newport News City County,VA,19-44,Female,3
C18.0,Malignant neoplasm of cecum,Newport News City County,VA,45-64,Female,4
C18.0,Malignant neoplasm of cecum,Newport News City County,VA,45-64,Male,2
C18.0,Malignant neoplasm of cecum,Newport News City County,VA,65-84,Female,5
C18.0,Malignant neoplasm of cecum,Newport News City County,VA,65-84,Male,7
C18.0,Malignant neoplasm of cecum,Newport News City County,VA,85+,Female,4
C18.0,Malignant neoplasm of cecum,Okaloosa County,FL,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Okaloosa County,FL,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Orangeburg County,SC,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Ouachita Parish,LA,45-64,Female,5
C18.0,Malignant neoplasm of cecum,Ouachita Parish,LA,45-64,Male,2
C18.0,Malignant neoplasm of cecum,Ouachita Parish,LA,65-84,Female,3
C18.0,Malignant neoplasm of cecum,Ouachita Parish,LA,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Prince William County,VA,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Prince William County,VA,85+,Female,1
C18.0,Malignant neoplasm of cecum,Rapides Parish,LA,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Rapides Parish,LA,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Rapides Parish,LA,65-84,Female,2
C18.0,Malignant neoplasm of cecum,Rapides Parish,LA,65-84,Male,2
C18.0,Malignant neoplasm of cecum,Richland County,SC,65-84,Male,4
C18.0,Malignant neoplasm of cecum,Roanoke County,VA,19-44,Female,1
C18.0,Malignant neoplasm of cecum,Roanoke County,VA,19-44,Male,1
C18.0,Malignant neoplasm of cecum,Roanoke County,VA,45-64,Male,3
C18.0,Malignant neoplasm of cecum,Roanoke County,VA,65-84,Female,6
C18.0,Malignant neoplasm of cecum,Roanoke County,VA,65-84,Male,5
C18.0,Malignant neoplasm of cecum,Russell County,AL,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Spartanburg County,SC,19-44,Male,3
C18.0,Malignant neoplasm of cecum,Spartanburg County,SC,45-64,Female,5
C18.0,Malignant neoplasm of cecum,Spartanburg County,SC,45-64,Male,7
C18.0,Malignant neoplasm of cecum,Spartanburg County,SC,65-84,Female,3
C18.0,Malignant neoplasm of cecum,Spartanburg County,SC,65-84,Male,12
C18.0,Malignant neoplasm of cecum,Spartanburg County,SC,85+,Female,1
C18.0,Malignant neoplasm of cecum,Spotsylvania County,VA,65-84,Male,1
C18.0,Malignant neoplasm of cecum,Tallapoosa County,AL,45-64,Female,1
C18.0,Malignant neoplasm of cecum,Tallapoosa County,AL,45-64,Male,1
C18.0,Malignant neoplasm of cecum,Tallapoosa County,AL,65-84,Female,1
C18.0,Malignant neoplasm of cecum,Washington County,VA,45-64,Female,3
C18.0,Malignant neoplasm of cecum,Washington County,VA,45-64,Male,8
C18.0,Malignant neoplasm of cecum,Washington County,VA,65-84,Female,3
C18.0,Malignant neoplasm of cecum,Wythe County,VA,65-84,Female,1
C18.0,Malignant neoplasm of cecum,York County,SC,19-44,Female,1
C18.0,Malignant neoplasm of cecum,York County,SC,45-64,Male,1
C18.0,Malignant neoplasm of cecum,York County,SC,65-84,Female,1
C18.0,Malignant neoplasm of cecum,York County,SC,65-84,Male,3
C18.1,Malignant neoplasm of appendix,Aiken County,SC,45-64,Male,1
C18.1,Malignant neoplasm of appendix,Alcorn County,MS,45-64,Female,1
C18.1,Malignant neoplasm of appendix,Anderson County,SC,19-44,Male,1
C18.1,Malignant neoplasm of appendix,Augusta County,VA,19-44,Female,2
C18.1,Malignant neoplasm of appendix,Augusta County,VA,45-64,Male,1
C18.1,Malignant neoplasm of appendix,Augusta County,VA,65-84,Male,1
C18.1,Malignant neoplasm of appendix,Bexar County,TX,19-44,Male,1
C18.1,Malignant neoplasm of appendix,Caddo Parish,LA,19-44,Male,1
C18.1,Malignant neoplasm of appendix,Charleston County,SC,65-84,Female,1
C18.1,Malignant neoplasm of appendix,Charleston County,SC,65-84,Male,1
C18.1,Malignant neoplasm of appendix,Clay County,FL,14-18,Female,1
C18.1,Malignant neoplasm of appendix,Clay County,FL,19-44,Male,1
C18.1,Malignant neoplasm of appendix,Duval County,FL,45-64,Male,1
