entryDate,code,codeDescription,fips,addressCounty,count
2017-08-04,C67,Malignant neoplasm of bladder,51143,Pittsylvania County,1
2017-08-05,C18,Malignant neoplasm of colon,45083,Spartanburg County,2
2017-08-05,C18.2,Malignant neoplasm of ascending colon,47163,Sullivan County,1
2017-08-05,C25,Malignant neoplasm of pancreas,45083,Spartanburg County,1
2017-08-05,C25.0,Malignant neoplasm of head of pancreas,45083,Spartanburg County,1
2017-08-05,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",1081,Lee County,1
2017-08-05,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45083,Spartanburg County,1
2017-08-05,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51087,Henrico County,1
2017-08-05,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,51121,Montgomery County,1
2017-08-05,C43.4,Malignant melanoma of scalp and neck,45045,Greenville County,1
2017-08-05,C43.9,"Malignant melanoma of skin, unspecified",45083,Spartanburg County,1
2017-08-05,C50.011,"Malignant neoplasm of nipple and areola, right female breast",37159,Rowan County,1
2017-08-05,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-08-05,C61,Malignant neoplasm of prostate,45045,Greenville County,1
2017-08-05,C73,Malignant neoplasm of thyroid gland,45083,Spartanburg County,1
2017-08-05,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,51087,Henrico County,1
2017-08-05,C92.32,"Myeloid sarcoma, in relapse",45083,Spartanburg County,1
2017-08-06,C18.9,"Malignant neoplasm of colon, unspecified",45091,York County,1
2017-08-06,C43.9,"Malignant melanoma of skin, unspecified",51121,Montgomery County,1
2017-08-06,C50.911,Malignant neoplasm of unspecified site of right female breast,45085,Sumter County,1
2017-08-06,C50.912,Malignant neoplasm of unspecified site of left female breast,45085,Sumter County,2
2017-08-06,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45085,Sumter County,1
2017-08-07,C43.72,"Malignant melanoma of left lower limb, including hip",1031,Coffee County,1
2017-08-07,C50.911,Malignant neoplasm of unspecified site of right female breast,45007,Anderson County,1
2017-08-07,C50.912,Malignant neoplasm of unspecified site of left female breast,45007,Anderson County,1
2017-08-07,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45071,Newberry County,1
2017-08-07,C61,Malignant neoplasm of prostate,45085,Sumter County,1
2017-08-08,C18,Malignant neoplasm of colon,51121,Montgomery County,1
2017-08-08,C18.6,Malignant neoplasm of descending colon,1113,Russell County,1
2017-08-08,C25.9,"Malignant neoplasm of pancreas, unspecified",51121,Montgomery County,1
2017-08-08,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45051,Horry County,1
2017-08-08,C43,Malignant melanoma of skin,51087,Henrico County,1
2017-08-08,C61,Malignant neoplasm of prostate,45051,Horry County,1
2017-08-08,C85.89,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",51083,Halifax County,1
2017-08-09,C18.7,Malignant neoplasm of sigmoid colon,45083,Spartanburg County,1
2017-08-09,C18.9,"Malignant neoplasm of colon, unspecified",45083,Spartanburg County,1
2017-08-09,C18.9,"Malignant neoplasm of colon, unspecified",45091,York County,1
2017-08-09,C25.0,Malignant neoplasm of head of pancreas,12099,Palm Beach County,1
2017-08-09,C25.9,"Malignant neoplasm of pancreas, unspecified",45091,York County,1
2017-08-09,C34,Malignant neoplasm of bronchus and lung,45085,Sumter County,1
2017-08-09,C34.9,Malignant neoplasm of unspecified part of bronchus or lung,45085,Sumter County,1
2017-08-09,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51015,Augusta County,4
2017-08-09,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,45079,Richland County,1
2017-08-09,C43,Malignant melanoma of skin,51161,Roanoke County,1
2017-08-09,C50,Malignant neoplasm of breast,45091,York County,1
2017-08-09,C50,Malignant neoplasm of breast,51015,Augusta County,1
2017-08-09,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45071,Newberry County,1
2017-08-09,C61,Malignant neoplasm of prostate,45079,Richland County,1
2017-08-09,C61,Malignant neoplasm of prostate,45085,Sumter County,1
2017-08-09,C61,Malignant neoplasm of prostate,51177,Spotsylvania County,1
2017-08-09,C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site",45083,Spartanburg County,1
2017-08-09,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",1073,Jefferson County,1
2017-08-10,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",47163,Sullivan County,1
2017-08-10,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",37159,Rowan County,1
2017-08-10,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,45079,Richland County,1
2017-08-10,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,45091,York County,1
2017-08-10,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,1081,Lee County,1
2017-08-10,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45091,York County,1
2017-08-10,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,1081,Lee County,1
2017-08-10,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45007,Anderson County,1
2017-08-10,C61,Malignant neoplasm of prostate,1055,Etowah County,1
2017-08-10,C61,Malignant neoplasm of prostate,45003,Aiken County,1
2017-08-10,C61,Malignant neoplasm of prostate,51700,Newport News City County,1
2017-08-10,C67.9,"Malignant neoplasm of bladder, unspecified",51015,Augusta County,1
2017-08-10,C85.89,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",45083,Spartanburg County,1
2017-08-10,C91.0,Acute lymphoblastic leukemia [ALL],12091,Okaloosa County,1
2017-08-10,C91.1,Chronic lymphocytic leukemia of B-cell type,45003,Aiken County,1
2017-08-11,C18,Malignant neoplasm of colon,1113,Russell County,1
2017-08-11,C18.0,Malignant neoplasm of cecum,1113,Russell County,1
2017-08-11,C18.9,"Malignant neoplasm of colon, unspecified",45091,York County,1
2017-08-11,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",51590,Danville City County,1
2017-08-11,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",51087,Henrico County,1
2017-08-11,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",1081,Lee County,1
2017-08-11,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,45083,Spartanburg County,1
2017-08-11,C43.62,"Malignant melanoma of left upper limb, including shoulder",51087,Henrico County,1
2017-08-11,C50.111,Malignant neoplasm of central portion of right female breast,51087,Henrico County,1
2017-08-11,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51087,Henrico County,1
2017-08-11,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51590,Danville City County,2
2017-08-11,C50.911,Malignant neoplasm of unspecified site of right female breast,1123,Tallapoosa County,1
2017-08-11,C50.912,Malignant neoplasm of unspecified site of left female breast,1123,Tallapoosa County,1
2017-08-11,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-08-11,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51015,Augusta County,1
2017-08-11,C61,Malignant neoplasm of prostate,13099,Early County,1
2017-08-11,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2017-08-11,C73,Malignant neoplasm of thyroid gland,45083,Spartanburg County,1
2017-08-11,C85.2,Mediastinal (thymic) large B-cell lymphoma,1089,Madison County,1
2017-08-11,C85.24,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb",1089,Madison County,1
2017-08-11,C85.93,"Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",1089,Madison County,1
2017-08-12,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",45083,Spartanburg County,1
2017-08-12,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",51700,Newport News City County,1
2017-08-12,C43,Malignant melanoma of skin,51143,Pittsylvania County,1
2017-08-12,C43,Malignant melanoma of skin,51191,Washington County,1
2017-08-12,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,28049,Hinds County,1
2017-08-12,C54.1,Malignant neoplasm of endometrium,28049,Hinds County,1
2017-08-13,C18.9,"Malignant neoplasm of colon, unspecified",45057,Lancaster County,1
2017-08-13,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",45083,Spartanburg County,1
2017-08-13,C43.6,"Malignant melanoma of upper limb, including shoulder",45083,Spartanburg County,1
2017-08-14,C18.7,Malignant neoplasm of sigmoid colon,45071,Newberry County,1
2017-08-14,C25,Malignant neoplasm of pancreas,45091,York County,1
2017-08-14,C25.2,Malignant neoplasm of tail of pancreas,45041,Florence County,1
2017-08-14,C50.111,Malignant neoplasm of central portion of right female breast,51147,Prince Edward County,1
2017-08-14,C50.112,Malignant neoplasm of central portion of left female breast,51147,Prince Edward County,1
2017-08-14,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,45057,Lancaster County,1
2017-08-14,C50.911,Malignant neoplasm of unspecified site of right female breast,51147,Prince Edward County,1
2017-08-14,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-08-14,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,47163,Sullivan County,1
2017-08-14,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2017-08-14,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",45083,Spartanburg County,1
2017-08-14,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",45007,Anderson County,1
2017-08-14,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",45083,Spartanburg County,1
2017-08-15,C25.0,Malignant neoplasm of head of pancreas,45079,Richland County,1
2017-08-15,C25.2,Malignant neoplasm of tail of pancreas,45091,York County,1
2017-08-15,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",45083,Spartanburg County,1
2017-08-15,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",13215,Muscogee County,1
2017-08-15,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51015,Augusta County,1
2017-08-15,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,51121,Montgomery County,1
2017-08-15,C50.011,"Malignant neoplasm of nipple and areola, right female breast",37159,Rowan County,1
2017-08-15,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",45085,Sumter County,1
2017-08-15,C50.112,Malignant neoplasm of central portion of left female breast,45091,York County,1
2017-08-15,C50.311,Malignant neoplasm of lower-inner quadrant of right female breast,37159,Rowan County,1
2017-08-15,C50.429,Malignant neoplasm of upper-outer quadrant of unspecified male breast,37159,Rowan County,1
2017-08-15,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-08-15,C67.9,"Malignant neoplasm of bladder, unspecified",1081,Lee County,1
2017-08-15,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45085,Sumter County,1
2017-08-16,C18,Malignant neoplasm of colon,1113,Russell County,1
2017-08-16,C25.2,Malignant neoplasm of tail of pancreas,51177,Spotsylvania County,1
2017-08-16,C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",45007,Anderson County,1
2017-08-16,C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",51087,Henrico County,1
2017-08-16,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",51005,Alleghany County,1
2017-08-16,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",51005,Alleghany County,2
2017-08-16,C34.8,Malignant neoplasm of overlapping sites of bronchus and lung,51005,Alleghany County,1
2017-08-16,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,51005,Alleghany County,1
2017-08-16,C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,51005,Alleghany County,1
2017-08-16,C43,Malignant melanoma of skin,51121,Montgomery County,1
2017-08-16,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51590,Danville City County,1
2017-08-16,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-08-16,C54.1,Malignant neoplasm of endometrium,45083,Spartanburg County,1
2017-08-16,C61,Malignant neoplasm of prostate,45007,Anderson County,1
2017-08-16,C61,Malignant neoplasm of prostate,45075,Orangeburg County,1
2017-08-16,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2017-08-16,C61,Malignant neoplasm of prostate,51087,Henrico County,2
2017-08-16,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",45075,Orangeburg County,1
2017-08-16,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",51005,Alleghany County,1
2017-08-16,C91.1,Chronic lymphocytic leukemia of B-cell type,47163,Sullivan County,1
2017-08-16,C91.50,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,51191,Washington County,1
2017-08-17,C18,Malignant neoplasm of colon,1031,Coffee County,1
2017-08-17,C18.4,Malignant neoplasm of transverse colon,45075,Orangeburg County,2
2017-08-17,C18.9,"Malignant neoplasm of colon, unspecified",45085,Sumter County,1
2017-08-17,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",51005,Alleghany County,1
2017-08-17,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45083,Spartanburg County,2
2017-08-17,C43,Malignant melanoma of skin,45083,Spartanburg County,1
2017-08-17,C50.011,"Malignant neoplasm of nipple and areola, right female breast",1031,Coffee County,1
2017-08-17,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,45091,York County,2
2017-08-17,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45083,Spartanburg County,1
2017-08-17,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45091,York County,1
2017-08-17,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,45091,York County,3
2017-08-17,C50.512,Malignant neoplasm of lower-outer quadrant of left female breast,45083,Spartanburg County,1
2017-08-17,C50.911,Malignant neoplasm of unspecified site of right female breast,45007,Anderson County,1
2017-08-17,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",45083,Spartanburg County,1
2017-08-17,C73,Malignant neoplasm of thyroid gland,51015,Augusta County,1
2017-08-18,C18.2,Malignant neoplasm of ascending colon,1089,Madison County,1
2017-08-18,C25.0,Malignant neoplasm of head of pancreas,51161,Roanoke County,1
2017-08-18,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",51590,Danville City County,1
2017-08-18,C50.119,Malignant neoplasm of central portion of unspecified female breast,1031,Coffee County,1
2017-08-18,C50.811,Malignant neoplasm of overlapping sites of right female breast,51071,Giles County,1
2017-08-18,C50.912,Malignant neoplasm of unspecified site of left female breast,45051,Horry County,1
2017-08-18,C54.1,Malignant neoplasm of endometrium,1123,Tallapoosa County,1
2017-08-18,C61,Malignant neoplasm of prostate,51700,Newport News City County,1
2017-08-18,C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site",51700,Newport News City County,1
2017-08-18,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",1055,Etowah County,1
2017-08-19,C18.2,Malignant neoplasm of ascending colon,51121,Montgomery County,1
2017-08-19,C18.9,"Malignant neoplasm of colon, unspecified",51087,Henrico County,1
2017-08-19,C18.9,"Malignant neoplasm of colon, unspecified",51121,Montgomery County,1
2017-08-19,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",51005,Alleghany County,1
2017-08-19,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,1055,Etowah County,1
2017-08-19,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,51121,Montgomery County,1
2017-08-19,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51121,Montgomery County,1
2017-08-19,C50.421,Malignant neoplasm of upper-outer quadrant of right male breast,51121,Montgomery County,1
2017-08-19,C61,Malignant neoplasm of prostate,1055,Etowah County,1
2017-08-19,C61,Malignant neoplasm of prostate,45003,Aiken County,1
2017-08-19,C61,Malignant neoplasm of prostate,51005,Alleghany County,1
2017-08-19,C67,Malignant neoplasm of bladder,45003,Aiken County,1
2017-08-19,C92.4,Acute promyelocytic leukemia,1089,Madison County,1
2017-08-20,C18.7,Malignant neoplasm of sigmoid colon,51005,Alleghany County,1
2017-08-20,C25.0,Malignant neoplasm of head of pancreas,45079,Richland County,1
2017-08-20,C25.0,Malignant neoplasm of head of pancreas,51191,Washington County,1
2017-08-20,C25.9,"Malignant neoplasm of pancreas, unspecified",51005,Alleghany County,1
2017-08-20,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",45045,Greenville County,1
2017-08-20,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,45075,Orangeburg County,1
2017-08-20,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,12019,Clay County,1
2017-08-21,C18,Malignant neoplasm of colon,51121,Montgomery County,1
2017-08-21,C18.4,Malignant neoplasm of transverse colon,45045,Greenville County,2
2017-08-21,C18.6,Malignant neoplasm of descending colon,45045,Greenville County,1
2017-08-21,C18.7,Malignant neoplasm of sigmoid colon,45045,Greenville County,1
2017-08-21,C18.9,"Malignant neoplasm of colon, unspecified",1073,Jefferson County,1
2017-08-21,C25,Malignant neoplasm of pancreas,45045,Greenville County,2
2017-08-21,C25.0,Malignant neoplasm of head of pancreas,45045,Greenville County,1
2017-08-21,C25.0,Malignant neoplasm of head of pancreas,45083,Spartanburg County,1
2017-08-21,C25.9,"Malignant neoplasm of pancreas, unspecified",45045,Greenville County,1
2017-08-21,C34,Malignant neoplasm of bronchus and lung,1073,Jefferson County,1
2017-08-21,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",1073,Jefferson County,1
2017-08-21,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",45045,Greenville County,1
2017-08-21,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",51121,Montgomery County,1
2017-08-21,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,51015,Augusta County,1
2017-08-21,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51005,Alleghany County,1
2017-08-21,C43,Malignant melanoma of skin,45045,Greenville County,1
2017-08-21,C43.5,Malignant melanoma of trunk,45045,Greenville County,1
2017-08-21,C43.9,"Malignant melanoma of skin, unspecified",37159,Rowan County,1
2017-08-21,C50.11,"Malignant neoplasm of central portion of breast, female",37149,Polk County,1
2017-08-21,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,51700,Newport News City County,1
2017-08-21,C50.212,Malignant neoplasm of upper-inner quadrant of left female breast,51700,Newport News City County,1
2017-08-21,C50.311,Malignant neoplasm of lower-inner quadrant of right female breast,51700,Newport News City County,1
2017-08-21,C50.312,Malignant neoplasm of lower-inner quadrant of left female breast,51700,Newport News City County,1
2017-08-21,C50.41,"Malignant neoplasm of upper-outer quadrant of breast, female",51700,Newport News City County,2
2017-08-21,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51700,Newport News City County,8
2017-08-21,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,51700,Newport News City County,5
2017-08-21,C50.511,Malignant neoplasm of lower-outer quadrant of right female breast,51590,Danville City County,1
2017-08-21,C50.512,Malignant neoplasm of lower-outer quadrant of left female breast,51700,Newport News City County,2
2017-08-21,C50.911,Malignant neoplasm of unspecified site of right female breast,45045,Greenville County,1
2017-08-21,C50.912,Malignant neoplasm of unspecified site of left female breast,45045,Greenville County,1
2017-08-21,C50.912,Malignant neoplasm of unspecified site of left female breast,51700,Newport News City County,1
2017-08-21,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51700,Newport News City County,1
2017-08-21,C64,"Malignant neoplasm of kidney, except renal pelvis",51015,Augusta County,1
2017-08-21,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",51015,Augusta County,1
2017-08-21,C85.89,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",1073,Jefferson County,1
2017-08-21,C91.0,Acute lymphoblastic leukemia [ALL],51185,Tazewell County,1
2017-08-21,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,51015,Augusta County,1
2017-08-21,C92.11,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",12091,Okaloosa County,1
2017-08-22,C18.2,Malignant neoplasm of ascending colon,1123,Tallapoosa County,1
2017-08-22,C18.9,"Malignant neoplasm of colon, unspecified",45051,Horry County,1
2017-08-22,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",45003,Aiken County,1
2017-08-22,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",12091,Okaloosa County,1
2017-08-22,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51161,Roanoke County,1
2017-08-22,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45091,York County,1
2017-08-22,C50.911,Malignant neoplasm of unspecified site of right female breast,37051,Cumberland County,1
2017-08-22,C61,Malignant neoplasm of prostate,37051,Cumberland County,1
2017-08-22,C61,Malignant neoplasm of prostate,51087,Henrico County,1
2017-08-22,C61,Malignant neoplasm of prostate,51161,Roanoke County,1
2017-08-22,C61,Malignant neoplasm of prostate,51590,Danville City County,1
2017-08-22,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",37051,Cumberland County,1
2017-08-22,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",37051,Cumberland County,1
2017-08-22,C73,Malignant neoplasm of thyroid gland,51161,Roanoke County,1
2017-08-22,C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site",45045,Greenville County,1
2017-08-22,C91.1,Chronic lymphocytic leukemia of B-cell type,45045,Greenville County,1
2017-08-23,C18.7,Malignant neoplasm of sigmoid colon,45071,Newberry County,1
2017-08-23,C18.9,"Malignant neoplasm of colon, unspecified",45075,Orangeburg County,1
2017-08-23,C34,Malignant neoplasm of bronchus and lung,1073,Jefferson County,1
2017-08-23,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",45007,Anderson County,1
2017-08-23,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,12091,Okaloosa County,1
2017-08-23,C61,Malignant neoplasm of prostate,51083,Halifax County,1
2017-08-23,C67,Malignant neoplasm of bladder,1073,Jefferson County,1
2017-08-23,C73,Malignant neoplasm of thyroid gland,51015,Augusta County,2
2017-08-23,C92.4,Acute promyelocytic leukemia,1089,Madison County,1
2017-08-24,C34.9,Malignant neoplasm of unspecified part of bronchus or lung,45085,Sumter County,1
2017-08-24,C43,Malignant melanoma of skin,45071,Newberry County,1
2017-08-24,C43.30,Malignant melanoma of unspecified part of face,1123,Tallapoosa County,1
2017-08-24,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",12113,Santa Rosa County,1
2017-08-24,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,1089,Madison County,1
2017-08-24,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,51015,Augusta County,1
2017-08-24,C61,Malignant neoplasm of prostate,45003,Aiken County,1
2017-08-24,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",51590,Danville City County,1
2017-08-24,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",1055,Etowah County,1
2017-08-24,C85.15,"Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb",51143,Pittsylvania County,1
2017-08-24,C91.4,Hairy cell leukemia,1089,Madison County,1
2017-08-24,C92.4,Acute promyelocytic leukemia,1089,Madison County,1
2017-08-25,C18.2,Malignant neoplasm of ascending colon,1055,Etowah County,1
2017-08-25,C18.6,Malignant neoplasm of descending colon,1055,Etowah County,1
2017-08-25,C18.9,"Malignant neoplasm of colon, unspecified",51191,Washington County,1
2017-08-25,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45003,Aiken County,2
2017-08-25,C43.71,"Malignant melanoma of right lower limb, including hip",1073,Jefferson County,1
2017-08-25,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,51121,Montgomery County,1
2017-08-25,C50.611,Malignant neoplasm of axillary tail of right female breast,1073,Jefferson County,1
2017-08-25,C50.911,Malignant neoplasm of unspecified site of right female breast,1073,Jefferson County,1
2017-08-27,C18,Malignant neoplasm of colon,45045,Greenville County,2
2017-08-27,C18.7,Malignant neoplasm of sigmoid colon,45083,Spartanburg County,2
2017-08-27,C18.9,"Malignant neoplasm of colon, unspecified",45045,Greenville County,1
2017-08-27,C25.1,Malignant neoplasm of body of pancreas,45045,Greenville County,1
2017-08-27,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,12019,Clay County,1
2017-08-27,C50.911,Malignant neoplasm of unspecified site of right female breast,45083,Spartanburg County,1
2017-08-27,C50.912,Malignant neoplasm of unspecified site of left female breast,45045,Greenville County,1
2017-08-27,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",45045,Greenville County,1
2017-08-27,C85.91,"Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",45045,Greenville County,1
2017-08-28,C18.6,Malignant neoplasm of descending colon,51185,Tazewell County,1
2017-08-28,C25.9,"Malignant neoplasm of pancreas, unspecified",51121,Montgomery County,1
2017-08-28,C43.71,"Malignant melanoma of right lower limb, including hip",45075,Orangeburg County,1
