preceptorID,specialty,name,addressSubpremise,addressStreetNumber,addressStreetRoute,addressNeighborhood,addressLocality,addressDistrict,addressCounty,addressState,addressCountry,addressPostalCode,addressPostalCodeSuffix,addressFormatted,geoLatitude,geoLongitude
12665,Nephrology,"Northwest Louisiana Nephrology",NULL,NULL,NULL,NULL,Shreveport,NULL,NULL,LA,NULL,71101,NULL,"1800 Buckner Street, Suite C120, Shreveport LA 71101",NULL,NULL
12666,"Family Medicine","Butler-Abshire Medical Clinic",NULL,926,"Frances Drive",NULL,Haynesville,NULL,"Claiborne Parish",LA,US,71038,6100,"926 Frances Dr, Haynesville, LA 71038, USA",32.9514427,-93.1232452
12667,"Internal Medicine","Aiken Regional Medical Center",NULL,302,"University Pkwy",NULL,Aiken,NULL,"Aiken County",SC,US,29801,NULL,"302 University Pkwy, Aiken, SC 29801, USA",33.5712395,-81.7618408
12668,"infectious diseases","Helen Keller Hospital",NULL,1300,"S Montgomery Ave",NULL,Sheffield,NULL,"Colbert County",AL,US,35660,6334,"1300 S Montgomery Ave, Sheffield, AL 35660, USA",34.7464828,-87.6989136
12669,Pulmonology,"Johnston Memorial Hospital",NULL,16000,"Johnston Memorial Drive",NULL,Abingdon,NULL,"Washington County",VA,US,24211,NULL,"16000 Johnston Mem Dr, Abingdon, VA 24211, USA",36.7228470,-81.9118729
12670,"Emergency Medicine","MUSC Orangeburg",NULL,NULL,NULL,NULL,"MUSC Orangeburg",NULL,NULL,SC,NULL,29118,NULL,"3000 St. Matthews Road, MUSC Orangeburg SC 29118",NULL,NULL
12671,Pediatrics,"Rhodes Pediatric Clinic",NULL,37,"Calvert Drive",NULL,Alexandria,NULL,"Rapides Parish",LA,US,71303,3520,"37 Calvert Dr, Alexandria, LA 71303, USA",31.2980976,-92.4932480
12672,anesthesiology,"Northern Louisiana Medical Center",NULL,401,"East Vaughn Avenue",NULL,Ruston,NULL,"Lincoln Parish",LA,US,71270,NULL,"401 E Vaughn Ave, Ruston, LA 71270, USA",32.5170860,-92.6336060
12673,"Emergency Medicine","Rapides Regional Medical Center",NULL,211,"4th Street",NULL,Alexandria,NULL,"Rapides Parish",LA,US,71301,NULL,"211 4th St, Alexandria, LA 71301, USA",31.3148575,-92.4499512
12674,Rheumatology,"Premier Rheumatology",NULL,NULL,NULL,NULL,Auburn,NULL,NULL,AL,NULL,36830,NULL,"1907 South College Street, Unit 201, Auburn AL 36830",NULL,NULL
12675,"Rural & Community Health","Russell Medical Center",NULL,NULL,NULL,NULL,"Alexander City",NULL,NULL,AL,NULL,35010,NULL,"3316 Hwy. 280, Alexander City AL 35010",NULL,NULL
12676,"Family Medicine","Moncrief Army Community Hospital",NULL,4500,"Stuart St",NULL,Columbia,NULL,"Richland County",SC,US,29207,NULL,"4500 Stuart St, Columbia, SC 29207, USA",34.0119171,-80.9384308
12677,"Family Medicine","Piedmont Family and Occupational Medicine",NULL,219,"Parker Rd",NULL,Danville,NULL,NULL,VA,US,24540,NULL,"219 Parker Rd, Danville, VA 24540, USA",36.6044464,-79.4135666
12678,"Child & Adolescent Psychiatry","HCA Florida Fort Walton-Destin Hospital",NULL,1000,"Marwalt Drive",NULL,"Fort Walton Beach",NULL,"Okaloosa County",FL,US,32547,NULL,"1000 Marwalt Dr, Fort Walton Beach, FL 32547, USA",30.4545841,-86.6336060
12679,"Internal Medicine","Northern Louisiana Medical Center",NULL,401,"East Vaughn Avenue",NULL,Ruston,NULL,"Lincoln Parish",LA,US,71270,NULL,"401 E Vaughn Ave, Ruston, LA 71270, USA",32.5170860,-92.6336060
12680,Surgery,"Baton Rouge General Surgical Associates",NULL,NULL,NULL,NULL,"Baton Rouge",NULL,NULL,LA,NULL,70809,NULL,"8595 Picardy Avenue, Suite 235, Baton Rouge LA 70809",NULL,NULL
12681,"Colon & Rectal Surgery","Carilion Clinic General and Breast Surgery",NULL,3,"Riverside Circle",NULL,Roanoke,NULL,NULL,VA,US,24016,4955,"3 Riverside Circle, Roanoke, VA 24016, USA",37.2557907,-79.9428711
12682,Pulmonology,"Carolina Lung Clinic, PA",NULL,NULL,NULL,NULL,"Rock Hill",NULL,NULL,SC,NULL,29732,NULL,"225 S. Herlong Avenue, Rock Hill SC 29732",NULL,NULL
12683,Pediatrics,"Riverside Regional Medical Center",NULL,500,"J Clyde Morris Boulevard",Warwick,"Newport News",NULL,NULL,VA,US,23601,1929,"500 J Clyde Morris Blvd, Newport News, VA 23601, USA",37.0638924,-76.4831161
12684,"Sports Medicine","Precision Sports Medicine and Orthopedics-Vestavia",NULL,NULL,NULL,NULL,Vestavia,NULL,NULL,AL,NULL,35216,NULL,"200 Montgomery Highway, Suite 225, Vestavia AL 35216",NULL,NULL
12685,Psychiatry,"Wellness Office, PC",NULL,NULL,NULL,NULL,Huntsville,NULL,NULL,AL,NULL,35801,NULL,"400 Whitesport Drive, Suite 104, Huntsville AL 35801",NULL,NULL
12686,hematology/oncology,"W.G. Hefner VA Medical Center",NULL,1408,"N Long St",NULL,Salisbury,Salisbury,"Rowan County",NC,US,28144,3740,"1408 N Long St, Salisbury, NC 28144, USA",35.6751404,-80.4516296
12687,"General Surgery","Mid Louisiana Surgical Specialists",NULL,NULL,NULL,NULL,Alexandria,NULL,NULL,LA,NULL,71301,NULL,"3311 Prescott Road, Suite 201, Alexandria LA 71301",NULL,NULL
12689,"Cardiothoracic Surgery","St. Francis Medical Center",NULL,309,"Jackson Street",NULL,Monroe,NULL,"Ouachita Parish",LA,US,71201,NULL,"309 Jackson St, Monroe, LA 71201, USA",32.4993553,-92.1140823
12690,"Internal Medicine","LewisGale Medical Center",NULL,1900,"Electric Road",NULL,Salem,NULL,NULL,VA,US,24153,NULL,"1900 Electric Rd, Salem, VA 24153, USA",37.2634735,-80.0317154
12691,"Internal Medicine","Mary Washington Hospital",NULL,1001,"Sam Perry Boulevard",NULL,Fredericksburg,NULL,NULL,VA,US,22401,NULL,"1001 Sam Perry Blvd, Fredericksburg, VA 22401, USA",38.3109779,-77.4830933
12692,"Orthopedic Surgery","MUSC Orangeburg",NULL,NULL,NULL,NULL,"MUSC Orangeburg",NULL,NULL,SC,NULL,29118,NULL,"3000 St. Matthews Road, MUSC Orangeburg SC 29118",NULL,NULL
12693,Nephrology,"Markims Nephrology",NULL,NULL,NULL,NULL,Natchitoches,NULL,NULL,LA,NULL,71457,NULL,"655 Bienville Circle, Natchitoches LA 71457",NULL,NULL
12694,"Internal Medicine","Willis Knighton Health System",NULL,NULL,NULL,NULL,Shreveport,NULL,NULL,LA,NULL,71103,NULL,"2600 Greenwood Rd, Shreveport LA 71103",NULL,NULL
12695,hematology/oncology,"Natchitoches Regional Medical Center Cancer Center",NULL,NULL,NULL,NULL,Natchitoches,NULL,NULL,LA,NULL,71457,NULL,"211 Medical Drive, Natchitoches LA 71457",NULL,NULL
12696,OB/GYN,"Roper St. Francis Berkeley Hospital",NULL,100,"Callen Boulevard",NULL,Summerville,NULL,"Berkeley County",SC,US,29486,NULL,"100 Callen Blvd, Summerville, SC 29486, USA",33.0689430,-80.0956345
12697,"Family Medicine","Holston Medical Group, PC",NULL,15687,"Barnrock Rd",NULL,Mendota,Tyler,"Washington County",VA,US,24270,2525,"15687 Barnrock Rd, Mendota, VA 24270, USA",36.7288971,-82.2421417
12698,Geriatrics,"First Care Medical Clinic of Gadsden",NULL,309,"S 4th St",NULL,Gadsden,NULL,"Etowah County",AL,US,35901,NULL,"309 S 4th St, Gadsden, AL 35901, USA",34.0094681,-86.0058212
12699,"Internal Medicine","St. Francis Hospital",NULL,1,"St Francis Dr",Sterling,Greenville,NULL,"Greenville County",SC,US,29601,NULL,"1 St Francis Dr, Greenville, SC 29601, USA",34.8403740,-82.4214401
12701,Nephrology,"Renal Associates, LLC",NULL,NULL,NULL,NULL,Columbus,NULL,NULL,GA,NULL,31904,NULL,"6228 Bradley Park Drive, Columbus GA 31904",NULL,NULL
12702,Neonatology/NICU,"Crestwood Medical Center",NULL,1,"Hospital Drive Southwest",NULL,Huntsville,NULL,"Madison County",AL,US,35801,NULL,"1 Hospital Drive Southwest, Huntsville, AL 35801, USA",34.6933823,-86.5725174
12703,"Family Medicine","Orange Park Medical Center",NULL,2001,"Kingsley Avenue",NULL,"Orange Park",NULL,"Clay County",FL,US,32073,5156,"2001 Kingsley Ave, Orange Park, FL 32073, USA",30.1663208,-81.7378540
12705,"Family Medicine","TPMG Hidenwood Family Medicine",NULL,NULL,NULL,NULL,"Newport News",NULL,NULL,VA,NULL,23606,NULL,"12655 Warwick Blvd., Suite A, Newport News VA 23606",NULL,NULL
12706,"Internal Medicine","Affinity The Medical Office North",NULL,NULL,NULL,NULL,Monroe,NULL,NULL,LA,NULL,71203,NULL,"3400 Medical Park Drive, Suite B, Monroe LA 71203",NULL,NULL
12707,"General Surgery","St. Francis Medical Center",NULL,309,"Jackson Street",NULL,Monroe,NULL,"Ouachita Parish",LA,US,71201,NULL,"309 Jackson St, Monroe, LA 71201, USA",32.4993553,-92.1140823
12708,"Internal Medicine","Delhi Community Health Center",NULL,501,"Broadway Street",NULL,Delhi,NULL,"Richland Parish",LA,US,71232,NULL,"501 Broadway St, Delhi, LA 71232, USA",32.4531555,-91.4919434
12709,Endocrinology,"Willis Knighton Endocrine and Thyroid Specialists",NULL,NULL,NULL,NULL,"Bossier City",NULL,NULL,LA,NULL,71111,NULL,"2449 Hospital Drive, Suite 400, Bossier City LA 71111",NULL,NULL
12710,"Internal Medicine","Craddock Health Center",NULL,NULL,NULL,NULL,Sylacauga,NULL,NULL,AL,NULL,35150,NULL,"209 West Spring Street, Suite 200, Sylacauga AL 35150",NULL,NULL
12711,"Cardiovascular Disease","Grandview Medical Center-Birmingham",NULL,NULL,NULL,NULL,Birmingham,NULL,NULL,AL,NULL,35243,NULL,"3690 Grandview Pkwy, Birmingham AL 35243",NULL,NULL
12713,OB/GYN,"About Women OB/GYN",NULL,2296,"Opitz Blvd",NULL,Woodbridge,Woodbridge,"Prince William County",VA,US,22191,NULL,"2296 Opitz Blvd, Woodbridge, VA 22191, USA",38.6370049,-77.2860413
12714,"Family Medicine","Northern Louisiana Medical Center",NULL,401,"East Vaughn Avenue",NULL,Ruston,NULL,"Lincoln Parish",LA,US,71270,NULL,"401 E Vaughn Ave, Ruston, LA 71270, USA",32.5170860,-92.6336060
12716,"hospice and palliative medicine","Norwood Clinic Fultondale",NULL,NULL,NULL,NULL,Fultondale,NULL,NULL,AL,NULL,35068,NULL,"1604 Stouts Road, Fultondale AL 35068",NULL,NULL
12717,"Internal Medicine","Riverside Regional Medical Center",NULL,500,"J Clyde Morris Boulevard",Warwick,"Newport News",NULL,NULL,VA,US,23601,1929,"500 J Clyde Morris Blvd, Newport News, VA 23601, USA",37.0638924,-76.4831161
12718,Pulmonology,"Sovah Health - Danville",NULL,142,"South Main Street",NULL,Danville,NULL,NULL,VA,US,24541,NULL,"142 S Main St, Danville, VA 24541, USA",36.5776749,-79.4055023
12719,anesthesiology,"Dorn VA Medical Center",NULL,6439,"Garners Ferry Rd",NULL,Columbia,NULL,"Richland County",SC,US,29209,NULL,"6439 Garners Ferry Rd, Columbia, SC 29209, USA",33.9768639,-80.9616699
12720,Endocrinology,"CHRISTUS Trinity Clinic",NULL,2812,"Louisiana 28",NULL,Pineville,NULL,"Rapides Parish",LA,US,71360,5715,"2812 LA-28, Pineville, LA 71360, USA",31.3323822,-92.4033279
12721,Rheumatology,"Premier Rheumatology",NULL,NULL,NULL,NULL,Auburn,NULL,NULL,AL,NULL,36830,NULL,"1907 South College Street, Unit 201, Auburn AL 36830",NULL,NULL
12722,"infectious diseases","MWMG, Infectious Diseases",NULL,NULL,NULL,NULL,Fredericksburg,NULL,NULL,VA,NULL,22301,NULL,"1101 Sam Perry Blvd, Ste 307, Fredericksburg VA 22301",NULL,NULL
12723,hematology/oncology,"Bon Secours Hematology Oncology",NULL,NULL,NULL,NULL,Greenville,NULL,NULL,SC,NULL,29607,NULL,"104 Innovation Drive, Greenville SC 29607",NULL,NULL
12724,Hospitalist,"Crestwood Medical Center",NULL,1,"Hospital Drive Southwest",NULL,Huntsville,NULL,"Madison County",AL,US,35801,NULL,"1 Hospital Drive Southwest, Huntsville, AL 35801, USA",34.6933823,-86.5725174
12725,"General Surgery","Beauregard Health System",NULL,600,"South Pine Street",NULL,DeRidder,NULL,"Beauregard Parish",LA,US,70634,4942,"600 S Pine St, DeRidder, LA 70634, USA",30.8414364,-93.2878342
12726,"Family Medicine","Piedmont Columbus Regional Midtown Campus",NULL,710,"Center Street",NULL,Columbus,NULL,"Muscogee County",GA,US,31901,NULL,"710 Center St, Columbus, GA 31901, USA",32.4805565,-84.9818420
12727,Radiology,"Grandview Medical Center-Birmingham",NULL,NULL,NULL,NULL,Birmingham,NULL,NULL,AL,NULL,35243,NULL,"3690 Grandview Pkwy, Birmingham AL 35243",NULL,NULL
12728,"infectious diseases","Helen Keller Hospital",NULL,1300,"S Montgomery Ave",NULL,Sheffield,NULL,"Colbert County",AL,US,35660,6334,"1300 S Montgomery Ave, Sheffield, AL 35660, USA",34.7464828,-87.6989136
12729,Pediatrics,"Spartanburg Regional Medical Center",NULL,101,"E Wood St",NULL,Spartanburg,NULL,"Spartanburg County",SC,US,29303,NULL,"101 E Wood St, Spartanburg, SC 29303, USA",34.9671631,-81.9402313
12730,Cardiology,"LewisGale Montgomery",NULL,NULL,NULL,NULL,Blacksburg,NULL,NULL,VA,NULL,24060,NULL,"3700 South Main Street, Blacksburg VA 24060",NULL,NULL
12731,"Transplant Surgery","MUSC Dept Surgery, Division of Transplant Surgery",NULL,NULL,NULL,NULL,"MUSC Lancaster",NULL,NULL,SC,NULL,29425,NULL,"96 Jonathan Lucas Street MSC 611/CSB 409, MUSC Lancaster SC 29425",NULL,NULL
12732,"Family Medicine","Medical Group of the Carolinas - Family Medicine - Five Forks","Suite 101",2801,"Woodruff Road",NULL,Simpsonville,NULL,"Greenville County",SC,US,29681,NULL,"2801 Woodruff Rd Suite 101, Simpsonville, SC 29681, USA",34.8065186,-82.2258682
12733,Surgery,"MUSC - Lancaster Medical Center",NULL,NULL,NULL,NULL,"MUSC Lancaster",NULL,NULL,SC,NULL,29720,NULL,"800 West Meeting Street, MUSC Lancaster SC 29720",NULL,NULL
12734,OB/GYN,"East Alabama Medical Center",NULL,2000,"Pepperell Parkway",NULL,Opelika,NULL,"Lee County",AL,US,36801,NULL,"2000 Pepperell Pkwy, Opelika, AL 36801, USA",32.6389351,-85.4046478
12735,Neurosurgery,"Riverside Hampton Roads Neurosurgical and Spine Specialists",410,12200,"Warwick Blvd",Warwick,"Newport News",NULL,NULL,VA,US,23601,NULL,"12200 Warwick Blvd #410, Newport News, VA 23601, USA",37.0613098,-76.4862823
12736,OB/GYN,"Veron Primary Care Clinic",NULL,NULL,NULL,NULL,"Punta Cana",NULL,NULL,NULL,NULL,23000,NULL,"Carretera Veron-Punta Cana #106, Punta Cana 23000",NULL,NULL
12737,"Family Medicine","Veron Primary Care Clinic",NULL,NULL,NULL,NULL,"Punta Cana",NULL,NULL,NULL,NULL,23000,NULL,"Carretera Veron-Punta Cana #106, Punta Cana 23000",NULL,NULL
12738,"Internal Medicine","Riverside Regional Medical Center",NULL,500,"J Clyde Morris Boulevard",Warwick,"Newport News",NULL,NULL,VA,US,23601,1929,"500 J Clyde Morris Blvd, Newport News, VA 23601, USA",37.0638924,-76.4831161
12739,"Emergency Medicine","Orange Park Medical Center",NULL,2001,"Kingsley Avenue",NULL,"Orange Park",NULL,"Clay County",FL,US,32073,5156,"2001 Kingsley Ave, Orange Park, FL 32073, USA",30.1663208,-81.7378540
12740,"Family Medicine","Piedmont Family Medicine, PA",b,1401,"W Innes St",NULL,Salisbury,Salisbury,"Rowan County",NC,US,28144,2575,"1401 W Innes St b, Salisbury, NC 28144, USA",35.6806908,-80.4817200
12741,Neurology,"Riverside Regional Medical Center",NULL,500,"J Clyde Morris Boulevard",Warwick,"Newport News",NULL,NULL,VA,US,23601,1929,"500 J Clyde Morris Blvd, Newport News, VA 23601, USA",37.0638924,-76.4831161
12742,Endocrinology,"Mary Washington Hospital",NULL,1001,"Sam Perry Boulevard",NULL,Fredericksburg,NULL,NULL,VA,US,22401,NULL,"1001 Sam Perry Blvd, Fredericksburg, VA 22401, USA",38.3109779,-77.4830933
12743,Nephrology,"Bon Secours Saint Francis Health System",NULL,NULL,NULL,NULL,Greenville,NULL,NULL,SC,NULL,29601,NULL,"1 Saint Francis Drive, Greenville SC 29601",NULL,NULL
12744,"General Surgery","WellSmart Health Surgical Associates",NULL,NULL,NULL,NULL,Opelousas,NULL,NULL,LA,NULL,70570,NULL,"627 E Prudhomme Bldg K, Opelousas LA 70570",NULL,NULL
12745,"Internal Medicine","MUSC Dept Surgery, Division of Transplant Surgery",NULL,NULL,NULL,NULL,"MUSC Lancaster",NULL,NULL,SC,NULL,29425,NULL,"96 Jonathan Lucas Street MSC 611/CSB 409, MUSC Lancaster SC 29425",NULL,NULL
12748,"Emergency Medicine","Keesler Medical Center",NULL,301,"Fisher Street",NULL,Biloxi,NULL,"Harrison County",MS,US,39534,NULL,"301 Fisher St, Biloxi, MS 39534, USA",30.4125557,-88.9106598
12749,"Internal Medicine","North Oaks Medical Center",NULL,15837,"Paul Vega MD Drive",NULL,Hammond,NULL,"Tangipahoa Parish",LA,US,70403,NULL,"15837 Paul Vega MD Dr, Hammond, LA 70403, USA",30.4670181,-90.4586868
12751,OB/GYN,"OB Hospitalist Group",NULL,NULL,NULL,NULL,Hendersonville,NULL,NULL,NC,NULL,28792,NULL,"100 Hospital Drive, Hendersonville NC 28792",NULL,NULL
12752,Psychiatry,"Grayson and Associates, P.C.",NULL,NULL,NULL,NULL,Birmingham,NULL,NULL,AL,NULL,35209,NULL,"2200 Lakeshore Drive, Suite 150, Birmingham AL 35209",NULL,NULL
12753,Geriatrics,"Orange Park Medical Center",NULL,2001,"Kingsley Avenue",NULL,"Orange Park",NULL,"Clay County",FL,US,32073,5156,"2001 Kingsley Ave, Orange Park, FL 32073, USA",30.1663208,-81.7378540
12754,"Family Medicine","Family Medicine North - Mary Black Physicians Group",NULL,NULL,NULL,NULL,"Boiling Springs",NULL,NULL,SC,NULL,29316,NULL,"575 Ingles Drive, Boiling Springs SC 29316",NULL,NULL
12755,Nephrology,"Asheville VA Medical Center",NULL,1100,"Tunnel Rd",NULL,Asheville,NULL,"Buncombe County",NC,US,28805,NULL,"1100 Tunnel Rd, Asheville, NC 28805, USA",35.5885468,-82.4848785
12756,"Internal Medicine","Primary & Urgent Care, LLC",NULL,NULL,NULL,NULL,Fredericksburg,NULL,NULL,VA,NULL,22407,NULL,"4510 Plank Road, Suite 200, Fredericksburg VA 22407",NULL,NULL
12757,"Orthopedic Surgery","Hughston Clinic P.C. - LaGrange",NULL,NULL,NULL,NULL,LaGrange,NULL,NULL,GA,NULL,30241,NULL,"107 Calumet Center Road, LaGrange GA 30241",NULL,NULL
12758,Neurology,"NeuroMedical Clinic of CENLA",NULL,NULL,NULL,NULL,Alexandria,NULL,NULL,LA,NULL,71301,NULL,"3311 Prescott Drive, Suite 216, Alexandria LA 71301",NULL,NULL
12759,Nephrology,"Spartanburg Regional Medical Center",NULL,101,"E Wood St",NULL,Spartanburg,NULL,"Spartanburg County",SC,US,29303,NULL,"101 E Wood St, Spartanburg, SC 29303, USA",34.9671631,-81.9402313
12760,"Internal Medicine","Cleveland Clinic Indian River Hospital",NULL,1000,"36th Street",NULL,"Vero Beach",NULL,"Indian River County",FL,US,32960,4862,"1000 36th St, Vero Beach, FL 32960, USA",27.6590061,-80.3930283
12761,"Internal Medicine","Cleveland Clinic Indian River Hospital",NULL,1000,"36th Street",NULL,"Vero Beach",NULL,"Indian River County",FL,US,32960,4862,"1000 36th St, Vero Beach, FL 32960, USA",27.6590061,-80.3930283
12762,Nephrology,"Kidney & Hypertension Specialists","# E",9378,"Forestwood Lane",NULL,Manassas,NULL,NULL,VA,US,20110,4742,"9378 Forestwood Ln # E, Manassas, VA 20110, USA",38.7644882,-77.4797440
12763,"Family Medicine","ReGenesis Health Care",NULL,362,"North Pine Street",NULL,Spartanburg,NULL,"Spartanburg County",SC,US,29306,3306,"362 N Pine St, Spartanburg, SC 29306, USA",34.9588547,-81.9230957
12764,"Emergency Medicine","Grandview Medical Center-Birmingham",NULL,NULL,NULL,NULL,Birmingham,NULL,NULL,AL,NULL,35243,NULL,"3690 Grandview Pkwy, Birmingham AL 35243",NULL,NULL
12765,"Thoracic Surgery","Cleveland Clinic Indian River Hospital",NULL,1000,"36th Street",NULL,"Vero Beach",NULL,"Indian River County",FL,US,32960,4862,"1000 36th St, Vero Beach, FL 32960, USA",27.6590061,-80.3930283
12766,Geriatrics,"Riverside Neurology Specialists",110,12200,"Warwick Blvd",Warwick,"Newport News",NULL,NULL,VA,US,23601,NULL,"12200 Warwick Blvd #110, Newport News, VA 23601, USA",37.0613098,-76.4862823
12767,Surgery,"Orangeburg Surgical Associates",NULL,NULL,NULL,NULL,"MUSC Orangeburg",NULL,NULL,SC,NULL,29118,NULL,"1175 Cook Road, Suite 320, MUSC Orangeburg SC 29118",NULL,NULL
12768,"Pediatric Critical Care","Grand Strand Medical Center",NULL,809,"82nd Parkway",NULL,"Myrtle Beach",NULL,"Horry County",SC,US,29572,NULL,"809 82nd Pkwy, Myrtle Beach, SC 29572, USA",33.7583427,-78.8200989
12769,Hospitalist,"Natchitoches Regional Medical Center",NULL,501,"Keyser Avenue",NULL,Natchitoches,NULL,"Natchitoches Parish",LA,US,71457,NULL,"501 Keyser Ave, Natchitoches, LA 71457, USA",31.7521973,-93.0779953
12770,OB/GYN,"Rowell Ashford",NULL,NULL,NULL,NULL,Birmingham,NULL,NULL,AL,NULL,35218,NULL,"1925 20th Street Ensley, Birmingham AL 35218",NULL,NULL
12771,Pediatrics,"Children's Medical Center",NULL,703,"Verdae Boulevard",NULL,Greenville,NULL,"Greenville County",SC,US,29607,NULL,"703 Verdae Blvd, Greenville, SC 29607, USA",34.8281631,-82.3214188
12772,Psychiatry,"East Alabama Psychiatric Services",NULL,2740,"Village Professional Dr",NULL,Opelika,NULL,"Lee County",AL,US,36801,NULL,"2740 Village Professional Dr, Opelika, AL 36801, USA",32.6473045,-85.4127197
12773,Nephrology,"Nephrology Associates of Northern Virginia",NULL,NULL,NULL,NULL,Fairfax,NULL,NULL,VA,NULL,22033,NULL,"13135 Rt 50, Ste 135, Fairfax VA 22033",NULL,NULL
12774,"Family Medicine","Mercury West Family Practice",NULL,NULL,NULL,NULL,Hampton,NULL,NULL,VA,NULL,23666,NULL,"2148 W Mercury Blvd, Hampton VA 23666",NULL,NULL
12775,"Transplant Surgery","John C McDonald Regional Transplant Center",NULL,NULL,NULL,NULL,Shreveport,NULL,NULL,LA,NULL,71103,NULL,"2751 Albert Bicknell Dr, Ste 4A, Shreveport LA 71103",NULL,NULL
12776,Hospitalist,"St. Francis Hospital",NULL,1,"St Francis Dr",Sterling,Greenville,NULL,"Greenville County",SC,US,29601,NULL,"1 St Francis Dr, Greenville, SC 29601, USA",34.8403740,-82.4214401
12777,"Internal Medicine","Baton Rouge Family Medical Center","Suite 100",8595,"Picardy Avenue","South Baton Rouge","Baton Rouge",NULL,"East Baton Rouge Parish",LA,US,70809,NULL,"8595 Picardy Ave Suite 100, Baton Rouge, LA 70809, USA",30.3934994,-91.0937805
12778,"Family Medicine","Gateway Family Medicine",NULL,NULL,NULL,NULL,"Travelers Rest",NULL,NULL,SC,NULL,29690,NULL,"406 N Poinsett Hwy, Travelers Rest SC 29690",NULL,NULL
12779,OB/GYN,"Natchitoches Regional Medical Center",NULL,501,"Keyser Avenue",NULL,Natchitoches,NULL,"Natchitoches Parish",LA,US,71457,NULL,"501 Keyser Ave, Natchitoches, LA 71457, USA",31.7521973,-93.0779953
12780,Pulmonology,"Palmetto Pulmonary & Critical Care Associates",NULL,NULL,NULL,NULL,Greenville,NULL,NULL,SC,NULL,29601,NULL,"3 St. Francis Dr, Ste 620, Greenville SC 29601",NULL,NULL
12781,"Family Medicine","Palmetto Proactive, LLC",a,1703,"John B White Sr Blvd",NULL,Spartanburg,NULL,"Spartanburg County",SC,US,29301,NULL,"1703 John B White Sr Blvd a, Spartanburg, SC 29301, USA",34.9221230,-81.9826126
12782,Cardiology,"Cardiovascular Institute of the South","Suite 450",1233,"Wayne Gilmore Circle",NULL,Opelousas,NULL,"St. Landry Parish",LA,US,70570,NULL,"1233 Wayne Gilmore Cir Suite 450, Opelousas, LA 70570, USA",30.5454502,-92.0752106
12783,"Family Medicine","Byrd Regional Hospital",NULL,1020,"Fertitta Boulevard",NULL,Leesville,NULL,"Vernon Parish",LA,US,71446,NULL,"1020 Fertitta Blvd, Leesville, LA 71446, USA",31.1385765,-93.2689209
