,type,Hospital Name,CMS Certification Number,Beds,ADDRESS,CITY,STATE,ZIP,Telephone,rural ,mua,X,Y,size
15,Radiology Only,Grandview Medical Center,10104.0,431,3690 Grandview Parkway,Birmingham,AL,35243,(205) 971-1000,No,No,-86.7204633293,33.4343438286,5
16,Chemotherapy Only,Helen Keller Hospital,10019.0,178,1300 South Montgomery Avenue,Sheffield,AL,35660,(256) 386-4196,No,Yes,-87.6989408898,34.7459247591,5
17,Chemotherapy Only,Huntsville Hospital,10039.0,939,245 Governors Drive,Huntsville,AL,35801,(256) 265-1000,No,No,-86.5816672859,34.7197386612,5
18,Chemotherapy Only,Jackson Hospital,10024.0,278,1725 Pine Street,Montgomery,AL,36106,(334) 293-8000,No,Yes,-86.2851175043,32.3666339099,5
19,Cancer Treatment Center,MARSHALL CANCER CARE CENTER,,,11491 US HWY 431,ALBERTVILLE,AL,35950,2565718139,Yes,Yes,-86.2732973445,34.3000703325,5
20,Chemo and Radiology,Marshall Medical Center South,10005.0,182,2505 US Highway 431,Boaz,AL,35957,(256) 593-8310,Yes,Yes,-86.1596107418,34.2219217421,5
21,Chemotherapy Only,Mizell Memorial Hospital,10007.0,59,702 North Main Street,Opp,AL,36467,(334) 493-3541,Yes,Yes,-86.2553863908,31.2920202787,5
22,Chemo and Radiology,Mobile Infirmary Medical Center,10113.0,579,5 Mobile Infirmary Circle,Mobile,AL,36607,(251) 435-2400,No,Yes,-88.0804242697,30.695508309,5
23,Chemotherapy Only,Monroe County Hospital,10120.0,46,2016 South Alabama Avenue,Monroeville,AL,36460,(251) 575-3111,Yes,Yes,-87.3194692504,31.4976584965,5
24,Cancer Treatment Center,MONTGOMERY CANCER CENTER,,,4145 CARMICHAEL ROAD,MONTGOMERY,AL,36106,3342732377,No,No,-86.2373279157,32.3582765238,5
25,Cancer Treatment Center,MONTGOMERY CANCER CENTER - PRATTVILLE,,,645 MCQUEEN SMITH ROAD SUITE 207,PRATTVILLE,AL,36066,3343511004,No,Yes,-86.4203209553,32.4802829616,5
26,Radiology Only,North Alabama Medical Center,10006.0,223,1701 Veterans Drive,Florence,AL,35630,(256) 629-1000,No,No,-87.6500738075,34.8037033131,5
27,Chemotherapy Only,North Baldwin Infirmary,10129.0,81,1815 Hand Avenue,Bay Minette,AL,36507,(251) 937-5521,Yes,Yes,-87.7840532492,30.9039853098,5
28,Chemo and Radiology,RMC Anniston,10078.0,350,400 East Tenth Street,Anniston,AL,36207,(256) 235-5121,No,Yes,-85.8235966721,33.6570948752,5
29,Chemo and Radiology,Russell Medical Center,10065.0,45,3316 Highway 280,Alexander City,AL,35010,(256) 329-7100,Yes,Yes,-85.9689826267,32.931504237,5
30,Chemo and Radiology,Southeast Health Medical Center,10001.0,345,1108 Ross Clark Circle,Dothan,AL,36301,(334) 793-8111,No,Yes,-85.3614404916,31.2154798402,5
31,Cancer Treatment Center,SOUTHEASTERN SKIN CANCER & DERMATOLOGY,,,104J E BRISCOE WAY,MADISON,AL,35758,2567053000,No,Yes,-86.7376568759,34.6810074219,5
32,Cancer Treatment Center,SOUTHERN CANCER CENTER,,,6701 AIRPORT BLVD,MOBILE,AL,36608,2516256896,No,No,-88.1966747289,30.6809135716,5
33,Cancer Treatment Center,SOUTHERN CANCER CENTER PC,,,29653 ANCHOR CROSS BLVD,DAPHNE,AL,36526,2516256896,Yes,Yes,-87.8666143249,30.6570259019,5
34,Cancer Treatment Center,SOUTHERN CANCER CENTER PC,,,3719 DAUPHIN STREET 1ST FLOOR,MOBILE,AL,36608,2516256896,No,No,-88.1321617347,30.6856459103,5
35,Cancer Treatment Center,SOUTHERN CANCER CENTER PC,,,"669 S MCKENZIE STREET, SUITE 103",FOLEY,AL,36535,2516256896,Yes,Yes,-87.6822729724,30.4003373256,5
36,Cancer Treatment Center,SUNRISE SKIN CANCER SURGERY CENTER,,,70 MIDTOWN PARK E SUITE A,MOBILE,AL,36606,2515446406,No,No,-88.1198493057,30.6871169762,5
37,Radiology Only,Thomas Hospital,10100.0,180,750 Morphy Avenue,Fairhope,AL,36532,(251) 928-2375,Yes,Yes,-87.889203554,30.5199645183,5
38,Chemotherapy Only,Troy Regional Medical Center,10126.0,59,1330 Highway 231 South,Troy,AL,36081,(334) 670-5000,Yes,Yes,-85.9452006528,31.7802442199,5
39,Cancer Treatment Center,UAB CANCER CENTER AT RUSSELL MEDICAL,,,3446 HIGHWAY 280,ALEXANDER CITY,AL,35011,2563297888,Yes,Yes,-85.965643775,32.9285667499,5
40,Chemo and Radiology,UAB Hospital,10033.0,1306,1802 Sixth Avenue South,Birmingham,AL,35233,(205) 934-3411,No,Yes,-86.8029381553,33.5059710469,5
41,Radiology Only,UAB St. Vincent's Birmingham,10056.0,399,810 Saint Vincent's Drive,Birmingham,AL,35205,(205) 939-7000,No,No,-86.7887400495,33.5079583542,5
42,Radiology Only,UAB St. Vincent's East,10011.0,322,50 Medical Park East Drive,Birmingham,AL,35235,(205) 838-3000,No,No,-86.6656349537,33.5945971001,5
43,Cancer Treatment Center,UNIV SO ALABAMA MITCHELL CANCER INSTITUE FAIRHOPE,,,1047 FAIRHOPE AVENUE,FAIRHOPE,AL,36532,2514717226,Yes,Yes,-87.8806188926,30.5236906933,5
44,Cancer Treatment Center,UNIV SOUTH ALABAMA MITCHELL CANCER SPRINGHILL,,,101 MEMORIAL HOSPITAL DRIVE  SUITE 302,MOBILE,AL,36608,2514717226,No,No,-88.1307291836,30.6830387193,5
45,Cancer Treatment Center,UNIVERSITY OF SO AL MITCHELL CANCER INSTITUTE,,,1660 SPRINGHILL AVE,MOBILE,AL,36604,2516658000,No,Yes,-88.0785925724,30.6922917118,5
46,Chemotherapy Only,USA Health Children's and Women's Hospital,13301.0,245,1700 Center Street,Mobile,AL,36604,(251) 415-1000,No,Yes,-88.0784291253,30.6964312404,5
47,Chemotherapy Only,USA Health University Hospital,10087.0,264,2451 Fillingim Street,Mobile,AL,36617,(251) 471-7000,No,Yes,-88.101623863,30.7078876257,5
48,Cancer Treatment Center,USA MITCHELL CANCER INSTITUTE ONCOLOGY,,,1660 SPRINGHILL AVENUE,MOBILE,AL,36604,2514459680,No,Yes,-88.0785925724,30.6922917118,5
49,Chemotherapy Only,Whitfield Regional Hospital,10112.0,67,105 Highway 80 East,Demopolis,AL,36732,(334) 289-4000,Yes,Yes,-87.8364607635,32.5037463813,5
50,Cancer Treatment Center,"WHITFIELD REGIONAL HOSPITAL, CANCER CARE CENTER",,,105 US HWY 80 EAST,DEMOPOLIS,AL,36732,3342872644,Yes,Yes,-87.8364607635,32.5037463813,5
51,Cancer Treatment Center,A O P PA DBA CENTRAL GEORGIA CANCER CARE,,,114 SUTHERLIN DRIVE C 1,WARNER ROBINS,GA,31088,4787437070,Yes,Yes,-83.6698288488,32.5486788724,5
52,Cancer Treatment Center,A O P PA DBA CENTRAL GEORGIA CANCER CARE,,,"800 FIRST STREET, SUITE 410",MACON,GA,31201,4787437070,No,Yes,-83.6351836769,32.8319696816,5
53,Cancer Treatment Center,ACWORTH DERMATOLOGY & SKIN CANCER,,,4450 CALIBRE XING NW SUITE 1208,ACWORTH,GA,30101,6785058030,No,No,-84.7223292593,34.0637986055,5
54,Chemo and Radiology,AdventHealth Gordon,110023.0,69,1035 Red Bud Road,Calhoun,GA,30701,0,Yes,Yes,-84.926075472,34.5119339156,5
55,Chemotherapy Only,AdventHealth Redmond,110168.0,237,501 Redmond Road,Rome,GA,30165,0,No,Yes,-85.1949421154,34.2781652344,5
56,Cancer Treatment Center,"ALLEN DERMATOLOGY AND SKIN CANCER CENTER, LLC",,,"520 CHARTER BOULEVARD, SUITE 100",MACON,GA,31210,4784776700,No,Yes,-83.6922630474,32.8718601543,5
57,Cancer Treatment Center,"AMERICAN ONCOLOCY PARTNERS, PA DBA CANCER & BLOOD",,,"101 GREENFIELD DRIVE, SUITE 220",CUMMING,GA,30040,4708397010,No,Yes,-84.1467910232,34.1823327109,5
58,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, P A",,,1206 ALICE STREET,WAYCROSS,GA,31501,9122851140,Yes,Yes,-82.3536192637,31.2189553125,5
59,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, P A",,,1601 FAIR ROAD SUITE 900,STATESBORO,GA,30458,9126922000,Yes,Yes,-81.7646655914,32.4094301054,5
60,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,"1 MEADOWS PKWY, SUITE B",VIDALIA,GA,30474,9125355840,Yes,Yes,-82.3774150677,32.2088582032,5
61,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,"4700 WATERS AVENUE, SUITE 201",SAVANNAH,GA,31404,9126922000,No,No,-81.0915529174,32.0311789131,5
62,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,"6985 MCGINNIS FERRY ROAD, SUITE 100",JOHNS CREEK,GA,30097,6787266200,No,No,-84.1558660772,34.0606873688,5
63,Cancer Treatment Center,AOP PA DBA LOW COUNTRY CANCER CARE ASSOCIATES,,,"740 E GENERAL STEWART WAY, SUITE 210 B",HINESVILLE,GA,31313,9126922000,No,Yes,-81.5800662439,31.8533067554,5
64,Chemo and Radiology,Archbold Medical Center,110038.0,301,915 Gordon Avenue,Thomasville,GA,31792,0,Yes,Yes,-83.9733757004,30.8248018058,5
65,Cancer Treatment Center,ATLANTA CANCER CARE - DECATUR,,,"2545 LAWRENCEVILLE HWY, SUITE 300",DECATUR,GA,30033,4043211950,No,No,-84.2637283468,33.8215278666,5
66,Cancer Treatment Center,ATLANTA CANCER CARE CANTON OFFICE,,,"460 NORTHSIDE CHEROKEE BLVD, SUITE 450",CANTON,GA,30115,7707213800,No,No,-84.4658673296,34.2280634559,5
67,Cancer Treatment Center,ATLANTA SKIN CANCER SPECIALISTS,,,"3330 PRESTON RIDGE ROAD, SUITE 280",ALPHARETTA,GA,30005,4044463200,No,No,-84.2654633169,34.0712388857,5
68,Chemotherapy Only,Atrium Health Floyd,110054.0,299,304 Turner McCall Boulevard,Rome,GA,30165,0,No,Yes,-85.1797774086,34.2604265289,5
69,Chemotherapy Only,Atrium Health Navicent,110107.0,660,777 Hemlock Street,Macon,GA,31201,0,No,Yes,-83.6363981309,32.8331404239,5
70,Radiology Only,Atrium Health Navicent Baldwin,110150.0,101,821 North Cobb Street,Milledgeville,GA,31061,0,Yes,Yes,-83.24599825,33.0888753492,5
71,Cancer Treatment Center,"CANCER CENTER OF MIDDLE GEORGIA, LLC",,,2400 BELLEVUE ROAD STE 26,DUBLIN,GA,31021,4782728270,Yes,Yes,-82.942929083,32.5283417769,5
72,Chemo and Radiology,Candler Hospital,110024.0,308,5353 Reynolds Street,Savannah,GA,31405,0,No,No,-81.1004459491,32.0282721948,5
73,Cancer Treatment Center,CARROLLTON DERMATOLOGY & SKIN CANCER ASSOCIATES,,,410 DIXIE STREET,CARROLLTON,GA,30117,7708340820,Yes,Yes,-85.0722525106,33.5748633759,5
74,Radiology Only,CHI Memorial Hospital Georgia,110236.0,35,100 Gross Crescent Circle Fort,Fort Oglethorpe,GA,30742,0,No,Yes,-85.2628718248,34.9469733401,5
75,Chemo and Radiology,City of Hope Atlanta Comprehensive Care and Research Center,110233.0,50,600 Celebrate Life Parkway,Newnan,GA,30265,0,Yes,Yes,-84.7579797566,33.3863324967,5
76,Chemotherapy Only,Coffee Regional Medical Center,110089.0,82,1101 Ocilla Road,Douglas,GA,31533,0,Yes,Yes,-82.865191122,31.5102185269,5
77,Chemo and Radiology,Colquitt Regional Medical Center,110105.0,169,3131 South Main Street,Moultrie,GA,31768,0,Yes,Yes,-83.7829418777,31.1265377054,5
78,Chemotherapy Only,Crisp Regional Hospital,110104.0,208,902 North Seventh Street,Cordele,GA,31015,0,Yes,Yes,-83.7828165683,31.9774279892,5
79,Cancer Treatment Center,DERMATOLOGY AND SKIN CANCER CENTER OF AUGUSTA,,,1248 AUGUSTA WEST PARKWAY,AUGUSTA,GA,30909,7068630500,No,No,-82.0886740936,33.4792906528,5
80,Cancer Treatment Center,DIPRETA DERM MOHS SURGERY AND SKIN CANCER CTR,,,114 NORTHPARK DRIVE,BRUNSWICK,GA,31520,9122652140,No,Yes,-81.4870891448,31.1982481141,5
81,Radiology Only,Doctors Hospital of Augusta,110177.0,319,3651 Wheeler Road,Augusta,GA,30909,0,No,No,-82.0962503283,33.4868966432,5
82,Chemo and Radiology,Emory Decatur Hospital,110076.0,423,2701 North Decatur Road,Decatur,GA,30033,0,No,No,-84.2822516823,33.792265972,5
83,Radiology Only,Emory Hillandale Hospital,110226.0,90,2801 DeKalb Medical Parkway,Lithonia,GA,30058,0,No,No,-84.1469434575,33.7061129574,5
84,Chemo and Radiology,Emory Saint Joseph's Hospital,110082.0,344,5665 Peachtree Dunwoody Road,Atlanta,GA,30342,0,No,No,-84.3499956487,33.9098977269,5
85,Chemo and Radiology,Emory University Hospital,110010.0,683,1364 Clifton Road Northeast,Atlanta,GA,30322,0,No,No,-84.3212566172,33.7920966576,5
86,Chemo and Radiology,Emory University Hospital Midtown,110078.0,548,550 Peachtree Street Northeast,Atlanta,GA,30308,0,No,Yes,-84.3853128815,33.7684999238,5
87,Cancer Treatment Center,"EVERYBODY VS CANCER, INC",,,"4555 FLAT SHOALS PARKWAY, SUITE 107",DECATUR,GA,30034,4048555840,No,No,-84.2413007208,33.682971822,5
88,Cancer Treatment Center,"GA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,"1111 GLYNCO PKWY, BLDG 1, STE 20",BRUNSWICK,GA,31525,9122621800,No,Yes,-81.4980023827,31.2407675391,5
89,Cancer Treatment Center,GEORGIA DERMATOLOGY & SKIN CANCER,,,408 EAST FOURTH AVE,CORDELE,GA,31010,2292761120,Yes,Yes,-83.7775523978,31.9762459732,5
90,Cancer Treatment Center,GEORGIA DERMATOLOGY & SKIN CANCER CENTER,,,2283 WRIGHTSBORO ROAD,AUGUSTA,GA,30904,7067333370,No,No,-82.0201074435,33.4679317071,5
91,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,1006 GREENFIELD DRIVE,TIFTON,GA,31794,2292869330,Yes,Yes,-83.488747386,31.4694451361,5
92,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,110 BOWENS MILL ROAD,DOUGLAS,GA,31533,9123843200,Yes,Yes,-82.8701097066,31.5144301818,5
93,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,"1161 SARAHLYN LANE, SUITE A",STATESBORO,GA,30461,9124893700,Yes,Yes,-81.7396366418,32.4566206813,5
94,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,1349 MILLSTEAD ROAD,CONYERS,GA,30012,7707857550,No,No,-84.0021882411,33.6797344795,5
95,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,"1921 ALICE STREET, SUITE B1",WAYCROSS,GA,31501,9122870140,Yes,No,-82.3455808509,31.2254329311,5
96,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,2701 HWY 17 CROSSROADS STE 1B,RICHMOND HILL,GA,31324,9127277550,No,Yes,-81.3149069163,31.9454554291,5
97,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,656 SOUTH 8TH STREET,GRIFFIN,GA,30224,7702282820,No,Yes,-84.2657025365,33.237680324,5
98,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CENTER, LLC",,,980 S FIRST STREET,JESUP,GA,31545,9124274270,Yes,Yes,-81.9020713875,31.6041101336,5
99,Cancer Treatment Center,GEORGIA DERMATOLOGY & SKIN CANCER CTR,,,"5400 SUTLIVE STREET, SUITE 3",SAVANNAH,GA,31405,9122013820,No,No,-81.0945046884,32.0278592184,5
100,Cancer Treatment Center,"GEORGIA DERMATOLOGY & SKIN CANCER CTR, LLC",,,415 EAST CROSSVILLE ROAD,ROSWELL,GA,30075,7706424640,No,No,-84.3498872706,34.0393529106,5
101,Cancer Treatment Center,GEORGIA DERMATOLOGY AND SKIN CANCER CENTER LLC,,,510 EAST OGLETHORPE HWY,HINESVILLE,GA,31313,9123697550,No,Yes,-81.5872714955,31.8496221126,5
102,Cancer Treatment Center,"GEORGIA DERMATOLOGY AND SKIN CANCER CENTER, LLC",,,631 EAST FORSYTH STREET,AMERICUS,GA,31709,2299246010,Yes,Yes,-84.2235557289,32.0733470107,5
103,Cancer Treatment Center,GEORGIA SKIN & CANCER CLINIC,,,"900 MOHAWK STREET, SUITE E",SAVANNAH,GA,31419,9129250070,No,No,-81.157282461,31.984358985,5
104,Cancer Treatment Center,GEORGIA SKIN CANCER & AESTHETIC DERMATOLOGY,,,"1000 COWLES CLINIC WAY, WILLOW COTTAGE, SUITE 100",GREENSBORO,GA,30642,7065435860,Yes,Yes,-83.2336571548,33.4494548912,5
105,Cancer Treatment Center,GEORGIA SKIN CANCER & AESTHETIC DERMATOLOGY,,,1180 RESURGENCE DRIVE SUITE 100,WATKINSVILLE,GA,30677,7065435860,No,Yes,-83.4619660319,33.9132136916,5
106,Cancer Treatment Center,GEORGIA SKIN CANCER & AESTHETIC DERMATOLOGY,,,"1498 JESSE JEWELL PARKWAY, SE, SUITE D",GAINESVILLE,GA,30501,7065435860,No,Yes,-83.8061185944,34.3070390887,5
107,Cancer Treatment Center,"GEORGIA SKIN CANCER SURGERY CENTER, LLC",,,"1180 RESURGENCE DR, SUITE 200",WATKINSVILLE,GA,30677,7065435860,No,Yes,-83.4619660319,33.9132136916,5
108,Chemo and Radiology,GRADIOy Memorial Hospital,110079.0,"1,023",80 Jesse Hill Jr. Drive Southeast,Atlanta,GA,30303,0,No,Yes,-84.3824304288,33.752284713,5
109,Chemo and Radiology,Hamilton Medical Center,110001.0,239,1200 Memorial Drive,Dalton,GA,30720,0,No,No,-84.9839629908,34.7889034705,5
110,Chemotherapy Only,Houston Medical Center,110069.0,254,1601 Watson Boulevard,Warner Robins,GA,31093,0,No,No,-83.6301654315,32.618170298,5
111,Cancer Treatment Center,KAYAL DERMATOLOGY AND SKIN CANCER,,,"141 LACY STREET, SUITE 200",MARIETTA,GA,30060,7704267180,No,No,-84.5559691845,33.9664108651,5
112,Cancer Treatment Center,"LANIER DERMATOLOGY & SKIN CANCER SPECIALISTS, PC",,,605 SOUTH ENOTA DR,GAINESVILLE,GA,30501,7705380210,No,No,-83.8143301773,34.311618332,5
113,Radiology Only,Memorial Health,110036.0,597,4700 Waters Avenue,Savannah,GA,31404,0,No,No,-81.0915529174,32.0311789131,5
114,Chemo and Radiology,Memorial Health Meadows Hospital,110128.0,57,One Meadows Lane,Vidalia,GA,30474,0,Yes,Yes,-82.3774150677,32.2088582032,5
115,Chemotherapy Only,Memorial Satilla Health,110003.0,165,1900 Tebeau Street,Waycross,GA,31501,0,Yes,No,-82.3487242322,31.226379667,5
116,Cancer Treatment Center,NANCY N AND JC LEWIS CANCER AND RESEARCH PAVILLION,,,225 CANDLER DRIVE,SAVANNAH,GA,31405,9128197070,No,No,-81.1023514071,32.0277634971,5
117,Chemo and Radiology,NGMC Gainesville,110029.0,987,743 Spring Street Northeast,Gainesville,GA,30501,0,No,Yes,-83.8175235148,34.3022308938,5
118,Chemo and Radiology,Northside Hospital Atlanta,110161.0,673,1000 Johnson Ferry Road Northeast,Atlanta,GA,30342,0,No,No,-84.3541249933,33.9079300751,5
119,Cancer Treatment Center,NORTHSIDE HOSPITAL CANCER INSTITUTE,,,"1700 TREE LANE, SUITE 490",SNELLVILLE,GA,30078,7709792830,No,No,-84.0230583418,33.8758671581,5
120,Cancer Treatment Center,NORTHSIDE HOSPITAL CANCER INSTITUTE,,,"2098 TERON TRACE, SUITE 400 - 500",DACULA,GA,30019,6787223940,No,No,-83.9030586574,34.0679976037,5
121,Cancer Treatment Center,NORTHSIDE HOSPITAL CANCER INSTITUTE,,,"3855 PLEASANT HILL ROAD, SUITE 480",DULUTH,GA,30096,7706236430,No,No,-84.1620730442,34.0011342401,5
122,Cancer Treatment Center,NORTHSIDE HOSPITAL CANCER INSTITUTE,,,"631 PROFESSIONAL DRIVE, SUITE 450",LAWRENCEVILLE,GA,30046,7709638030,No,No,-84.0185008496,33.9614990279,5
123,Cancer Treatment Center,NORTHSIDE HOSPITAL CANCER INSTITUTE - SHOA BUFORD,,,"2800 BUFORD DRIVE, SUITE 300",BUFORD,GA,30519,7704174340,No,No,-83.9935785762,34.0490063374,5
124,Chemo and Radiology,Northside Hospital Cherokee,110008.0,325,450 Northside Cherokee Boulevard,Canton,GA,30115,0,No,No,-84.4647267202,34.2303608517,5
125,Chemo and Radiology,Northside Hospital Forsyth,110005.0,376,1200 Northside Forsyth Drive,Cumming,GA,30041,0,No,Yes,-84.1397109647,34.178242555,5
126,Chemotherapy Only,Northside Hospital Gwinnett,110087.0,440,1000 Medical Center Boulevard,Lawrenceville,GA,30046,0,No,No,-84.017909674,33.9635282028,5
127,Cancer Treatment Center,NORTHSIDE HOSPITAL/ ATLANTA CANCER CARE,,,1050 EAGLES LANDING PARKWAY SUITE 302,STOCKBRIDGE,GA,30281,7705070070,No,Yes,-84.223056838,33.5113441821,5
128,Cancer Treatment Center,NSH/GEORGIA CANCER SPEC - GWINNETT,,,"698 DULUTH HIGHWAY, SUITE 201",LAWRENCEVILLE,GA,30046,4042102710,No,No,-84.0122963134,33.9663359728,5
129,Chemo and Radiology,Phoebe Putney Memorial Hospital,110007.0,371,417 West Third Avenue,Albany,GA,31701,0,No,Yes,-84.1576425378,31.5902481422,5
130,Chemotherapy Only,Phoebe Sumter Medical Center,110044.0,54,126 Hwy 280 West,Americus,GA,31719,0,Yes,Yes,-84.2551612776,32.0643628226,5
131,Chemo and Radiology,Piedmont Athens Regional Medical Center,110074.0,391,1199 Prince Avenue,Athens,GA,30606,0,No,No,-83.3983381667,33.9624194866,5
132,Chemo and Radiology,Piedmont Atlanta Hospital,110083.0,569,1968 Peachtree Road Northwest,Atlanta,GA,30309,0,No,No,-84.3936298249,33.8081868104,5
133,Cancer Treatment Center,PIEDMONT CANCER INSTITUTE,,,1240 EAGLES LANDING PARKWAY,STOCKBRIDGE,GA,30281,6788549500,No,Yes,-84.2272736059,33.5078302787,5
134,Cancer Treatment Center,PIEDMONT CANCER INSTITUTE,,,4877 BILL GARDNER PARKWAY,LOCUST GROVE,GA,30248,6783997190,No,Yes,-84.1201030948,33.3539525761,5
135,Cancer Treatment Center,PIEDMONT CANCER INSTITUTE - SANDY SPRINGS,,,"755 MOUNT VERNON HIGHWAY, SUITE 320",ATLANTA,GA,30328,6788291060,No,No,-84.362291733,33.9284464176,5
136,Cancer Treatment Center,"PIEDMONT CANCER INSTITUTE, PC",,,"1267 HIGHWAY 54 WEST, SUITE 4200",FAYETTEVILLE,GA,30214,6788291060,No,No,-84.5090841709,33.4507964568,5
137,Cancer Treatment Center,"PIEDMONT CANCER INSTITUTE, PC",,,"1800 HOWELL MILL ROAD,  SUITE 800",ATLANTA,GA,30318,4043509850,No,No,-84.4137074167,33.8043263572,5
138,Cancer Treatment Center,"PIEDMONT CANCER INSTITUTE, PC",,,"775 POPLAR ROAD, SUITE 310",NEWNAN,GA,30265,6788291060,Yes,Yes,-84.7538498252,33.3592524116,5
139,Radiology Only,Piedmont Cartersville Medical Center,110030.0,119,960 Joe Frank Harris Parkway,Cartersville,GA,30120,0,Yes,Yes,-84.7963373572,34.2000444719,5
140,Chemo and Radiology,Piedmont Columbus Regional - Midtown Campus,110064.0,384,710 Center Street,Columbus,GA,31901,0,No,Yes,-84.981611364,32.4815872696,5
141,Chemo and Radiology,Piedmont Fayette Hospital,110215.0,294,1255 Highway 54 West,Fayetteville,GA,30214,0,No,No,-84.5084841943,33.4508641825,5
142,Chemo and Radiology,Piedmont Henry Hospital,110191.0,386,1133 Eagle's Landing Parkway,Stockbridge,GA,30281,0,No,Yes,-84.2281514426,33.511460942,5
143,Chemo and Radiology,Piedmont Newnan Hospital,110229.0,177,745 Poplar Road,Newnan,GA,30265,0,Yes,Yes,-84.7553294826,33.3594060519,5
144,Chemotherapy Only,Piedmont Newton Hospital,110018.0,94,5126 Hospital Drive NE,Covington,GA,30014,0,No,Yes,-83.8484342135,33.602163947,5
145,Chemotherapy Only,Piedmont Rockdale Hospital,110091.0,141,1412 Milstead Avenue,Conyers,GA,30012,0,No,No,-84.0020640213,33.6821467912,5
146,Chemotherapy Only,Saint Francis -Emory Healthcare,110129.0,325,2122 Manchester Expressway,Columbus,GA,31904,0,No,No,-84.9608954903,32.5068869547,5
147,Chemo and Radiology,SGMC Health Main,110122.0,275,2501 North Patterson Street,Valdosta,GA,31602,0,No,No,-83.2888235726,30.8624503393,5
